"title","url","criterion_list_id"
"Josephine Decker’s Top 10","https://www.criterion.com/current/top-10-lists/374-josephine-decker-s-top-10","374"
"Sofia Bohdanowicz and Deragh Campbell’s Top 10","https://www.criterion.com/current/top-10-lists/373-sofia-bohdanowicz-and-deragh-campbell-s-top-10","373"
"Kleber Mendonça Filho’s Top 10","https://www.criterion.com/current/top-10-lists/372-kleber-mendonca-filho-s-top-10","372"
"Rashaad Ernesto Green’s Top 10","https://www.criterion.com/current/top-10-lists/371-rashaad-ernesto-green-s-top-10","371"
"Kelly Reichardt’s Top 10","https://www.criterion.com/current/top-10-lists/370-kelly-reichardt-s-top-10","370"
"Karim Aïnouz’s Top 10","https://www.criterion.com/current/top-10-lists/368-karim-ainouz-s-top-10","368"
"Kasi Lemmons’s Top 10","https://www.criterion.com/current/top-10-lists/367-kasi-lemmons-s-top-10","367"
"Jack Reynor’s Top 10","https://www.criterion.com/current/top-10-lists/365-jack-reynor-s-top-10","365"
"Carlos Reygadas’s Top 10","https://www.criterion.com/current/top-10-lists/364-carlos-reygadas-s-top-10","364"
"Dennis Lim’s Top 10","https://www.criterion.com/current/top-10-lists/363-dennis-lim-s-top-10","363"
"Jeremy Workman’s Top 10","https://www.criterion.com/current/top-10-lists/361-jeremy-workman-s-top-10","361"
"Brian Raftery’s Top 10","https://www.criterion.com/current/top-10-lists/360-brian-raftery-s-top-10","360"
"Beak>’s Top 10","https://www.criterion.com/current/top-10-lists/359-beak-s-top-10","359"
"Michael Imperioli’s Top 10","https://www.criterion.com/current/top-10-lists/358-michael-imperioli-s-top-10","358"
"Lev Kalman’s Top 10","https://www.criterion.com/current/top-10-lists/357-lev-kalman-s-top-10","357"
"Christophe Honoré’s Top 10","https://www.criterion.com/current/top-10-lists/356-christophe-honore-s-top-10","356"
"Raúl Castillo’s Top 10","https://www.criterion.com/current/top-10-lists/355-raul-castillo-s-top-10","355"
"Karyn Kusama’s Top 10","https://www.criterion.com/current/top-10-lists/353-karyn-kusama-s-top-10","353"
"Paweł Pawlikowski’s Top 10","https://www.criterion.com/current/top-10-lists/352-pawel-pawlikowski-s-top-10","352"
"​Jon Dieringer’s Top 10","https://www.criterion.com/current/top-10-lists/350--jon-dieringer-s-top-10","350"
"Alice Rohrwacher’s Top 10","https://www.criterion.com/current/top-10-lists/349-alice-rohrwacher-s-top-10","349"
"Ali Abbasi’s Top 10","https://www.criterion.com/current/top-10-lists/348-ali-abbasi-s-top-10","348"
"Steven Yeun’s Top 10","https://www.criterion.com/current/top-10-lists/347-steven-yeun-s-top-10","347"
"John Grant’s Top 10","https://www.criterion.com/current/top-10-lists/346-john-grant-s-top-10","346"
"Hari Nef’s Top 10","https://www.criterion.com/current/top-10-lists/345-hari-nef-s-top-10","345"
"Jeremiah Zagar’s Top 10","https://www.criterion.com/current/top-10-lists/343-jeremiah-zagar-s-top-10","343"
"Alan Rudolph’s Top 10","https://www.criterion.com/current/top-10-lists/341-alan-rudolph-s-top-10","341"
