"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"the-shooting","The Shooting","1966","Monte Hellman","82","tt0062262","42701","2","https://www.imdb.com/title/tt0062262/","https://letterboxd.com/film/the-shooting/"
"american-gangster","American Gangster","2007","Ridley Scott","157","tt0765429","4982","1","https://www.imdb.com/title/tt0765429/","https://letterboxd.com/film/american-gangster/"
"odd-man-out","Odd Man Out","1947","Carol Reed","116","tt0039677","43461","6","https://www.imdb.com/title/tt0039677/","https://letterboxd.com/film/odd-man-out/"
"sanders-of-the-river","Sanders of the River","1935","Zoltan Korda","88","tt0026966","86956","2","https://www.imdb.com/title/tt0026966/","https://letterboxd.com/film/sanders-of-the-river/"
"fail-safe","Fail Safe","1964","Sidney Lumet","112","tt0058083","502","3","https://www.imdb.com/title/tt0058083/","https://letterboxd.com/film/fail-safe/"
"harlan-county-usa","Harlan County U.S.A.","1976","Barbara Kopple","105","tt0074605","33324","6","https://www.imdb.com/title/tt0074605/","https://letterboxd.com/film/harlan-county-usa/"
"the-red-balloon","The Red Balloon","1956","Albert Lamorisse","34","tt0048980","15265","2","https://www.imdb.com/title/tt0048980/","https://letterboxd.com/film/the-red-balloon/"
"the-housemaid","The Housemaid","1960","Kim Ki-young","112","tt0150980","42506","1","https://www.imdb.com/title/tt0150980/","https://letterboxd.com/film/the-housemaid/"
"katzelmacher","Katzelmacher","1969","Rainer Werner Fassbinder","90","tt0064536","7736","2","https://www.imdb.com/title/tt0064536/","https://letterboxd.com/film/katzelmacher/"
"the-servant","The Servant","1963","Joseph Losey","116","tt0057490","42987","2","https://www.imdb.com/title/tt0057490/","https://letterboxd.com/film/the-servant/"
"a-matter-of-life-and-death","A Matter of Life and Death","1946","Emeric Pressburger, Michael Powell","104","tt0038733","28162","8","https://www.imdb.com/title/tt0038733/","https://letterboxd.com/film/a-matter-of-life-and-death/"
"yojimbo","Yojimbo","1961","Akira Kurosawa","110","tt0055630","11878","3","https://www.imdb.com/title/tt0055630/","https://letterboxd.com/film/yojimbo/"
"they-live-by-night","They Live by Night","1948","Nicholas Ray","96","tt0040872","44190","2","https://www.imdb.com/title/tt0040872/","https://letterboxd.com/film/they-live-by-night/"
"apur-sansar","Apur Sansar","1959","Satyajit Ray","105","tt0052572","896","10","https://www.imdb.com/title/tt0052572/","https://letterboxd.com/film/apur-sansar/"
"the-mother-and-the-whore","The Mother and the Whore","1973","Jean Eustache","219","tt0070359","48693","4","https://www.imdb.com/title/tt0070359/","https://letterboxd.com/film/the-mother-and-the-whore/"
"sunday-bloody-sunday","Sunday Bloody Sunday","1971","John Schlesinger","110","tt0067805","45938","7","https://www.imdb.com/title/tt0067805/","https://letterboxd.com/film/sunday-bloody-sunday/"
"miracle-in-milan","Miracle in Milan","1951","Vittorio De Sica","97","tt0043809","43379","3","https://www.imdb.com/title/tt0043809/","https://letterboxd.com/film/miracle-in-milan/"
"bad-timing","Bad Timing","1980","Nicolas Roeg","123","tt0080408","33214","3","https://www.imdb.com/title/tt0080408/","https://letterboxd.com/film/bad-timing/"
"walkabout","Walkabout","1971","Nicolas Roeg","95","tt0067959","36040","4","https://www.imdb.com/title/tt0067959/","https://letterboxd.com/film/walkabout/"
"godzilla-raids-again","Godzilla Raids Again","1955","Motoyoshi Oda","82","tt0048127","1679","9","https://www.imdb.com/title/tt0048127/","https://letterboxd.com/film/godzilla-raids-again/"
"girlfight","Girlfight","2000","Karyn Kusama","110","tt0210075","19348","1","https://www.imdb.com/title/tt0210075/","https://letterboxd.com/film/girlfight/"
"japanese-summer-double-suicide","Japanese Summer: Double Suicide","1967","Nagisa Ōshima","99","tt0062009","48515","3","https://www.imdb.com/title/tt0062009/","https://letterboxd.com/film/japanese-summer-double-suicide/"
"island-of-lost-souls","Island of Lost Souls","1932","Erle C. Kenton","71","tt0024188","3031","3","https://www.imdb.com/title/tt0024188/","https://letterboxd.com/film/island-of-lost-souls/"
"two-creeley-mcclure","Two: Creeley/McClure","1965","Stan Brakhage","4","tt0281313","146810","3","https://www.imdb.com/title/tt0281313/","https://letterboxd.com/film/two-creeley-mcclure/"
"town-bloody-hall","Town Bloody Hall","1979","Chris Hegedus, D. A. Pennebaker","88","tt0217853","274381","3","https://www.imdb.com/title/tt0217853/","https://letterboxd.com/film/town-bloody-hall/"
"a-nos-amours","A Nos Amours","1983","Maurice Pialat","102","tt0086650","2282","1","https://www.imdb.com/title/tt0086650/","https://letterboxd.com/film/a-nos-amours/"
"lone-wolf-and-cub-baby-cart-to-hades","Lone Wolf and Cub: Baby Cart to Hades","1972","Kenji Misumi","89","tt0068817","41474","1","https://www.imdb.com/title/tt0068817/","https://letterboxd.com/film/lone-wolf-and-cub-baby-cart-to-hades/"
"bluebeard-1936","Bluebeard","1936","Jean Painlevé, René Bertrand","13","tt0129775","148243","1","https://www.imdb.com/title/tt0129775/","https://letterboxd.com/film/bluebeard-1936/"
