"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"2046","2046","2004","Wong Kar-Wai","128","tt0212712","844","8","https://www.imdb.com/title/tt0212712/","https://letterboxd.com/film/2046/"
"a-tale-of-winter","A Tale of Winter","1992","Éric Rohmer","114","tt0104008","10241","4","https://www.imdb.com/title/tt0104008/","https://letterboxd.com/film/a-tale-of-winter/"
"detour","Detour","1945","Edgar G. Ulmer","68","tt0037638","20367","2","https://www.imdb.com/title/tt0037638/","https://letterboxd.com/film/detour/"
"masculin-feminin","Masculin Féminin","1966","Jean-Luc Godard","105","tt0060675","4710","4","https://www.imdb.com/title/tt0060675/","https://letterboxd.com/film/masculin-feminin/"
"eyes-wide-shut","Eyes Wide Shut","1999","Stanley Kubrick","159","tt0120663","345","2","https://www.imdb.com/title/tt0120663/","https://letterboxd.com/film/eyes-wide-shut/"
"samurai-ii-duel-at-ichijoji-temple","Samurai II: Duel at Ichijoji Temple","1955","Hiroshi Inagaki","103","tt0048579","31374","4","https://www.imdb.com/title/tt0048579/","https://letterboxd.com/film/samurai-ii-duel-at-ichijoji-temple/"
"la-pointe-courte","La Pointe Courte","1955","Agnès Varda","80","tt0048499","54436","26","https://www.imdb.com/title/tt0048499/","https://letterboxd.com/film/la-pointe-courte/"
"prince-of-broadway","Prince of Broadway","2008","Sean Baker","102","tt1000769","87081","2","https://www.imdb.com/title/tt1000769/","https://letterboxd.com/film/prince-of-broadway/"
"something-wild","Something Wild","1986","Jonathan Demme","114","tt0091983","11300","4","https://www.imdb.com/title/tt0091983/","https://letterboxd.com/film/something-wild/"
"23rd-psalm-branch","23rd Psalm Branch","1967","Stan Brakhage","63","tt6391052","435421","3","https://www.imdb.com/title/tt6391052/","https://letterboxd.com/film/23rd-psalm-branch/"
"bang-the-drum-slowly-1956","Bang the Drum Slowly","1956","Daniel Petrie","57","tt0202808","365498","1","https://www.imdb.com/title/tt0202808/","https://letterboxd.com/film/bang-the-drum-slowly-1956/"
"tess","Tess","1979","Roman Polanski","172","tt0080009","11121","3","https://www.imdb.com/title/tt0080009/","https://letterboxd.com/film/tess/"
"flow-2024","Flow","2024","Gints Zilbalodis","85","tt4772188","823219","3","https://www.imdb.com/title/tt4772188/","https://letterboxd.com/film/flow-2024/"
"naqoyqatsi","Naqoyqatsi","2002","Godfrey Reggio","89","tt0145937","21925","6","https://www.imdb.com/title/tt0145937/","https://letterboxd.com/film/naqoyqatsi/"
"the-kid","The Kid","1921","Charlie Chaplin","68","tt0012349","10098","4","https://www.imdb.com/title/tt0012349/","https://letterboxd.com/film/the-kid/"
"the-x-from-outer-space","The X from Outer Space","1967","Kazui Nihonmatsu","89","tt0062411","42712","2","https://www.imdb.com/title/tt0062411/","https://letterboxd.com/film/the-x-from-outer-space/"
"beyond-the-hills","Beyond the Hills","2012","Cristian Mungiu","150","tt2258281","103740","2","https://www.imdb.com/title/tt2258281/","https://letterboxd.com/film/beyond-the-hills/"
"jigoku","Jigoku","1960","Nobuo Nakagawa","99","tt0154683","50173","2","https://www.imdb.com/title/tt0154683/","https://letterboxd.com/film/jigoku/"
"a-taste-of-honey","A Taste of Honey","1961","Tony Richardson","100","tt0055506","25062","5","https://www.imdb.com/title/tt0055506/","https://letterboxd.com/film/a-taste-of-honey/"
"trainspotting","Trainspotting","1996","Danny Boyle","94","tt0117951","627","12","https://www.imdb.com/title/tt0117951/","https://letterboxd.com/film/trainspotting/"
"the-last-temptation-of-christ","The Last Temptation of Christ","1988","Martin Scorsese","164","tt0095497","11051","3","https://www.imdb.com/title/tt0095497/","https://letterboxd.com/film/the-last-temptation-of-christ/"
"happy-anniversary","Happy Anniversary","1962","Pierre Étaix, Jean-Claude Carrière","12","tt0056066","139592","1","https://www.imdb.com/title/tt0056066/","https://letterboxd.com/film/happy-anniversary/"
"me-and-you-and-everyone-we-know","Me and You and Everyone We Know","2005","Miranda July","91","tt0415978","1382","3","https://www.imdb.com/title/tt0415978/","https://letterboxd.com/film/me-and-you-and-everyone-we-know/"
"equinox-flower","Equinox Flower","1958","Yasujirō Ozu","118","tt0051720","28272","6","https://www.imdb.com/title/tt0051720/","https://letterboxd.com/film/equinox-flower/"
"the-taste-of-things","The Taste of Things","2023","Trần Anh Hùng","135","tt19760052","964960","1","https://www.imdb.com/title/tt19760052/","https://letterboxd.com/film/the-taste-of-things/"
"lola-montes","Lola Montès","1955","Max Ophüls","116","tt0048308","35987","2","https://www.imdb.com/title/tt0048308/","https://letterboxd.com/film/lola-montes/"
"seconds","Seconds","1966","John Frankenheimer","107","tt0060955","20620","7","https://www.imdb.com/title/tt0060955/","https://letterboxd.com/film/seconds/"
"the-long-day-closes","The Long Day Closes","1992","Terence Davies","85","tt0104753","49956","1","https://www.imdb.com/title/tt0104753/","https://letterboxd.com/film/the-long-day-closes/"
"life-is-sweet","Life Is Sweet","1990","Mike Leigh","103","tt0100024","36843","4","https://www.imdb.com/title/tt0100024/","https://letterboxd.com/film/life-is-sweet/"
"italianamerican","Italianamerican","1974","Martin Scorsese","49","tt0071680","91459","7","https://www.imdb.com/title/tt0071680/","https://letterboxd.com/film/italianamerican/"
"every-man-for-himself","Every Man for Himself","1980","Jean-Luc Godard","87","tt0079854","113479","1","https://www.imdb.com/title/tt0079854/","https://letterboxd.com/film/every-man-for-himself/"
"putney-swope","Putney Swope","1969","Robert Downey Sr.","85","tt0064855","32575","2","https://www.imdb.com/title/tt0064855/","https://letterboxd.com/film/putney-swope/"
"forty-guns","Forty Guns","1957","Samuel Fuller","80","tt0050407","14837","3","https://www.imdb.com/title/tt0050407/","https://letterboxd.com/film/forty-guns/"
"three-colours-red","Three Colours: Red","1994","Krzysztof Kieślowski","100","tt0111495","110","10","https://www.imdb.com/title/tt0111495/","https://letterboxd.com/film/three-colours-red/"
"dheepan","Dheepan","2015","Jacques Audiard","115","tt4082068","314402","3","https://www.imdb.com/title/tt4082068/","https://letterboxd.com/film/dheepan/"
"the-asphalt-jungle","The Asphalt Jungle","1950","John Huston","113","tt0042208","16958","2","https://www.imdb.com/title/tt0042208/","https://letterboxd.com/film/the-asphalt-jungle/"
"code-unknown","Code Unknown","2000","Michael Haneke","118","tt0216625","30970","2","https://www.imdb.com/title/tt0216625/","https://letterboxd.com/film/code-unknown/"
"destry-rides-again","Destry Rides Again","1939","George Marshall","94","tt0031225","43828","2","https://www.imdb.com/title/tt0031225/","https://letterboxd.com/film/destry-rides-again/"
"germany-year-zero","Germany, Year Zero","1948","Roberto Rossellini","74","tt0039417","8016","5","https://www.imdb.com/title/tt0039417/","https://letterboxd.com/film/germany-year-zero/"
"emitai","Emitaï","1971","Ousmane Sembène","101","tt0067048","128395","3","https://www.imdb.com/title/tt0067048/","https://letterboxd.com/film/emitai/"
"that-nights-wife","That Night's Wife","1930","Yasujirō Ozu","66","tt0021406","49308","1","https://www.imdb.com/title/tt0021406/","https://letterboxd.com/film/that-nights-wife/"
"wings-of-desire","Wings of Desire","1987","Wim Wenders","128","tt0093191","144","5","https://www.imdb.com/title/tt0093191/","https://letterboxd.com/film/wings-of-desire/"
"maxwells-demon","Maxwell's Demon","1968","Hollis Frampton","4","tt0130854","154525","1","https://www.imdb.com/title/tt0130854/","https://letterboxd.com/film/maxwells-demon/"
"army-of-shadows","Army of Shadows","1969","Jean-Pierre Melville","145","tt0064040","15383","3","https://www.imdb.com/title/tt0064040/","https://letterboxd.com/film/army-of-shadows/"
"mikey-and-nicky","Mikey and Nicky","1976","Elaine May","106","tt0074901","59143","9","https://www.imdb.com/title/tt0074901/","https://letterboxd.com/film/mikey-and-nicky/"
"made-in-usa","Made in U.S.A","1966","Jean-Luc Godard","85","tt0060647","29369","2","https://www.imdb.com/title/tt0060647/","https://letterboxd.com/film/made-in-usa/"
"the-long-good-friday","The Long Good Friday","1980","John Mackenzie","114","tt0081070","14807","2","https://www.imdb.com/title/tt0081070/","https://letterboxd.com/film/the-long-good-friday/"
"kiss-me-deadly","Kiss Me Deadly","1955","Robert Aldrich","106","tt0048261","18030","2","https://www.imdb.com/title/tt0048261/","https://letterboxd.com/film/kiss-me-deadly/"
"pan-2","Pan 2","1974","Hollis Frampton","","tt2187013","154616","1","https://www.imdb.com/title/tt2187013/","https://letterboxd.com/film/pan-2/"
"take-out-2004","Take Out","2004","Sean Baker, Tsou Shih-ching","88","tt0391483","37736","3","https://www.imdb.com/title/tt0391483/","https://letterboxd.com/film/take-out-2004/"
"the-ballad-of-gregorio-cortez","The Ballad of Gregorio Cortez","1982","Robert M. Young","106","tt0083613","218500","1","https://www.imdb.com/title/tt0083613/","https://letterboxd.com/film/the-ballad-of-gregorio-cortez/"
"ministry-of-fear","Ministry of Fear","1944","Fritz Lang","86","tt0037075","21451","1","https://www.imdb.com/title/tt0037075/","https://letterboxd.com/film/ministry-of-fear/"
"pee-wees-big-adventure","Pee-wee's Big Adventure","1985","Tim Burton","91","tt0089791","5683","2","https://www.imdb.com/title/tt0089791/","https://letterboxd.com/film/pee-wees-big-adventure/"
"chimes-at-midnight","Chimes at Midnight","1965","Orson Welles","115","tt0059012","986","4","https://www.imdb.com/title/tt0059012/","https://letterboxd.com/film/chimes-at-midnight/"
"the-inspection","The Inspection","2022","Elegance Bratton","95","tt13495458","837938","2","https://www.imdb.com/title/tt13495458/","https://letterboxd.com/film/the-inspection/"
"no-more-excuses","No More Excuses","1968","Robert Downey Sr.","46","tt0251300","110692","2","https://www.imdb.com/title/tt0251300/","https://letterboxd.com/film/no-more-excuses/"
"a-room-with-a-view","A Room with a View","1986","James Ivory","117","tt0091867","11257","3","https://www.imdb.com/title/tt0091867/","https://letterboxd.com/film/a-room-with-a-view/"
"touki-bouki","Touki Bouki","1973","Djibril Diop Mambéty","91","tt0070820","77771","4","https://www.imdb.com/title/tt0070820/","https://letterboxd.com/film/touki-bouki/"
"paris-texas","Paris, Texas","1984","Wim Wenders","145","tt0087884","655","13","https://www.imdb.com/title/tt0087884/","https://letterboxd.com/film/paris-texas/"
"eyimofe-this-is-my-desire","Eyimofe (This Is My Desire)","2020","Chuko Esiri, Arie Esiri","116","tt10365870","665429","1","https://www.imdb.com/title/tt10365870/","https://letterboxd.com/film/eyimofe-this-is-my-desire/"
"sing-a-song-of-sex","Sing a Song of Sex","1967","Nagisa Ōshima","103","tt0062042","77124","3","https://www.imdb.com/title/tt0062042/","https://letterboxd.com/film/sing-a-song-of-sex/"
"women-in-love","Women in Love","1969","Ken Russell","131","tt0066579","66027","2","https://www.imdb.com/title/tt0066579/","https://letterboxd.com/film/women-in-love/"
"black-narcissus","Black Narcissus","1947","Emeric Pressburger, Michael Powell","100","tt0039192","16391","7","https://www.imdb.com/title/tt0039192/","https://letterboxd.com/film/black-narcissus/"
"amarcord","Amarcord","1973","Federico Fellini","123","tt0071129","7857","24","https://www.imdb.com/title/tt0071129/","https://letterboxd.com/film/amarcord/"
"millers-crossing","Miller's Crossing","1990","Joel Coen","115","tt0100150","379","6","https://www.imdb.com/title/tt0100150/","https://letterboxd.com/film/millers-crossing/"
"fantastic-mr-fox","Fantastic Mr. Fox","2009","Wes Anderson","87","tt0432283","10315","11","https://www.imdb.com/title/tt0432283/","https://letterboxd.com/film/fantastic-mr-fox/"
"sweet-smell-of-success","Sweet Smell of Success","1957","Alexander Mackendrick","97","tt0051036","976","10","https://www.imdb.com/title/tt0051036/","https://letterboxd.com/film/sweet-smell-of-success/"
"wildcat-2023","Wildcat","2023","Ethan Hawke","108","tt26442871","1076101","1","https://www.imdb.com/title/tt26442871/","https://letterboxd.com/film/wildcat-2023/"
"reprise","Reprise","2006","Joachim Trier","107","tt0827517","12197","1","https://www.imdb.com/title/tt0827517/","https://letterboxd.com/film/reprise/"
"the-french-lieutenants-woman","The French Lieutenant's Woman","1981","Karel Reisz","124","tt0082416","12537","1","https://www.imdb.com/title/tt0082416/","https://letterboxd.com/film/the-french-lieutenants-woman/"
"the-wave-1936","The Wave","1936","Fred Zinnemann, Emilio Gómez Muriel","61","tt0028165","195522","1","https://www.imdb.com/title/tt0028165/","https://letterboxd.com/film/the-wave-1936/"
"lady-snowblood-2-love-song-of-vengeance","Lady Snowblood 2: Love Song of Vengeance","1974","Toshiya Fujita","89","tt0072157","18818","1","https://www.imdb.com/title/tt0072157/","https://letterboxd.com/film/lady-snowblood-2-love-song-of-vengeance/"
"orpheus","Orpheus","1950","Jean Cocteau","95","tt0041719","4558","1","https://www.imdb.com/title/tt0041719/","https://letterboxd.com/film/orpheus/"
"before-midnight","Before Midnight","2013","Richard Linklater","109","tt2209418","132344","10","https://www.imdb.com/title/tt2209418/","https://letterboxd.com/film/before-midnight/"
"a-married-couple","A Married Couple","1969","Allan King","97","tt0064640","86655","6","https://www.imdb.com/title/tt0064640/","https://letterboxd.com/film/a-married-couple/"
"intentions-of-murder","Intentions of Murder","1964","Shōhei Imamura","150","tt0057829","49571","4","https://www.imdb.com/title/tt0057829/","https://letterboxd.com/film/intentions-of-murder/"
"easy-rider","Easy Rider","1969","Dennis Hopper","96","tt0064276","624","13","https://www.imdb.com/title/tt0064276/","https://letterboxd.com/film/easy-rider/"
"terms-of-endearment","Terms of Endearment","1983","James L. Brooks","132","tt0086425","11050","1","https://www.imdb.com/title/tt0086425/","https://letterboxd.com/film/terms-of-endearment/"
"journey-to-italy","Journey to Italy","1954","Roberto Rossellini","85","tt0046511","2748","13","https://www.imdb.com/title/tt0046511/","https://letterboxd.com/film/journey-to-italy/"
"the-red-shoes","The Red Shoes","1948","Michael Powell, Emeric Pressburger","133","tt0040725","19542","15","https://www.imdb.com/title/tt0040725/","https://letterboxd.com/film/the-red-shoes/"
"mystery-train","Mystery Train","1989","Jim Jarmusch","106","tt0097940","11305","6","https://www.imdb.com/title/tt0097940/","https://letterboxd.com/film/mystery-train/"
"five-easy-pieces","Five Easy Pieces","1970","Bob Rafelson","98","tt0065724","26617","14","https://www.imdb.com/title/tt0065724/","https://letterboxd.com/film/five-easy-pieces/"
"one-night-in-miami","One Night in Miami...","2020","Regina King","114","tt10612922","661914","2","https://www.imdb.com/title/tt10612922/","https://letterboxd.com/film/one-night-in-miami/"
"crumb","Crumb","1994","Terry Zwigoff","121","tt0109508","26564","6","https://www.imdb.com/title/tt0109508/","https://letterboxd.com/film/crumb/"
"umberto-d","Umberto D.","1952","Vittorio De Sica","91","tt0045274","833","4","https://www.imdb.com/title/tt0045274/","https://letterboxd.com/film/umberto-d/"
"howards-end","Howards End","1992","James Ivory","142","tt0104454","8293","1","https://www.imdb.com/title/tt0104454/","https://letterboxd.com/film/howards-end/"
"matewan","Matewan","1987","John Sayles","132","tt0093509","24276","6","https://www.imdb.com/title/tt0093509/","https://letterboxd.com/film/matewan/"
"the-traitor-2019","The Traitor","2019","Marco Bellocchio","151","tt7736478","575452","1","https://www.imdb.com/title/tt7736478/","https://letterboxd.com/film/the-traitor-2019/"
"varda-by-agnes","Varda by Agnès","2019","Agnès Varda","115","tt9530198","554967","24","https://www.imdb.com/title/tt9530198/","https://letterboxd.com/film/varda-by-agnes/"
"zatoichi-on-the-road","Zatoichi on the Road","1963","Kimiyoshi Yasuda","87","tt0057714","18624","1","https://www.imdb.com/title/tt0057714/","https://letterboxd.com/film/zatoichi-on-the-road/"
"drive-2011","Drive","2011","Nicolas Winding Refn","100","tt0780504","64690","1","https://www.imdb.com/title/tt0780504/","https://letterboxd.com/film/drive-2011/"
"genocide-1968","Genocide","1968","Kazui Nihonmatsu","84","tt0063195","124597","2","https://www.imdb.com/title/tt0063195/","https://letterboxd.com/film/genocide-1968/"
"the-blob","The Blob","1958","Irvin S. Yeaworth Jr.","82","tt0051418","8851","6","https://www.imdb.com/title/tt0051418/","https://letterboxd.com/film/the-blob/"
"the-wiz","The Wiz","1978","Sidney Lumet","134","tt0078504","24961","1","https://www.imdb.com/title/tt0078504/","https://letterboxd.com/film/the-wiz/"
"wise-blood","Wise Blood","1979","John Huston","106","tt0080140","42179","1","https://www.imdb.com/title/tt0080140/","https://letterboxd.com/film/wise-blood/"
"la-chambre-1972","La chambre","1972","Chantal Akerman","11","tt0068354","109383","11","https://www.imdb.com/title/tt0068354/","https://letterboxd.com/film/la-chambre-1972/"
"the-killers-1964","The Killers","1964","Don Siegel","93","tt0058262","24229","2","https://www.imdb.com/title/tt0058262/","https://letterboxd.com/film/the-killers-1964/"
"burden-of-dreams","Burden of Dreams","1982","Les Blank","97","tt0083702","42124","5","https://www.imdb.com/title/tt0083702/","https://letterboxd.com/film/burden-of-dreams/"
"a-face-in-the-crowd","A Face in the Crowd","1957","Elia Kazan","125","tt0050371","21849","5","https://www.imdb.com/title/tt0050371/","https://letterboxd.com/film/a-face-in-the-crowd/"
"as-long-as-youve-got-your-health","As Long as You've Got Your Health","1966","Pierre Étaix","68","tt0207145","143796","4","https://www.imdb.com/title/tt0207145/","https://letterboxd.com/film/as-long-as-youve-got-your-health/"
"faro-document","Fårö Document","1970","Ingmar Bergman","57","tt0064355","304081","12","https://www.imdb.com/title/tt0064355/","https://letterboxd.com/film/faro-document/"
"wedlock-house-an-intercourse","Wedlock House: An Intercourse","1959","Stan Brakhage","11","tt0278145","126128","3","https://www.imdb.com/title/tt0278145/","https://letterboxd.com/film/wedlock-house-an-intercourse/"
"a-tale-of-autumn","A Tale of Autumn","1998","Éric Rohmer","112","tt0137439","10239","4","https://www.imdb.com/title/tt0137439/","https://letterboxd.com/film/a-tale-of-autumn/"
"requiem-for-a-heavyweight-1956","Requiem for a Heavyweight","1956","Ralph Nelson","73","tt0049669","760499","1","https://www.imdb.com/title/tt0049669/","https://letterboxd.com/film/requiem-for-a-heavyweight-1956/"
"naked","Naked","1993","Mike Leigh","131","tt0107653","21450","16","https://www.imdb.com/title/tt0107653/","https://letterboxd.com/film/naked/"
"the-dante-quartet","The Dante Quartet","1987","Stan Brakhage","6","tt0092828","126194","3","https://www.imdb.com/title/tt0092828/","https://letterboxd.com/film/the-dante-quartet/"
"a-constant-forge","A Constant Forge","2000","Charles Kiselyak","200","tt0346794","66131","32","https://www.imdb.com/title/tt0346794/","https://letterboxd.com/film/a-constant-forge/"
"defending-your-life","Defending Your Life","1991","Albert Brooks","111","tt0101698","12186","11","https://www.imdb.com/title/tt0101698/","https://letterboxd.com/film/defending-your-life/"
"vive-le-tour","Vive Le Tour","1962","Louis Malle","18","tt0056662","63893","5","https://www.imdb.com/title/tt0056662/","https://letterboxd.com/film/vive-le-tour/"
"high-and-low","High and Low","1963","Akira Kurosawa","142","tt0057565","12493","6","https://www.imdb.com/title/tt0057565/","https://letterboxd.com/film/high-and-low/"
"sex-lies-and-videotape","sex, lies, and videotape","1989","Steven Soderbergh","101","tt0098724","1412","3","https://www.imdb.com/title/tt0098724/","https://letterboxd.com/film/sex-lies-and-videotape/"
"the-model-couple","The Model Couple","1977","William Klein","101","tt0191053","67429","1","https://www.imdb.com/title/tt0191053/","https://letterboxd.com/film/the-model-couple/"
"the-heiress","The Heiress","1949","William Wyler","115","tt0041452","28571","2","https://www.imdb.com/title/tt0041452/","https://letterboxd.com/film/the-heiress/"
"ravens-end","Raven's End","1963","Bo Widerberg","97","tt0057237","47206","1","https://www.imdb.com/title/tt0057237/","https://letterboxd.com/film/ravens-end/"
"corridors-of-blood","Corridors of Blood","1958","Robert Day","86","tt0051542","30637","1","https://www.imdb.com/title/tt0051542/","https://letterboxd.com/film/corridors-of-blood/"
"elevator-to-the-gallows","Elevator to the Gallows","1958","Louis Malle","92","tt0051378","1093","5","https://www.imdb.com/title/tt0051378/","https://letterboxd.com/film/elevator-to-the-gallows/"
"watership-down","Watership Down","1978","Martin Rosen","92","tt0078480","11837","4","https://www.imdb.com/title/tt0078480/","https://letterboxd.com/film/watership-down/"
"murmur-of-the-heart","Murmur of the Heart","1971","Louis Malle","118","tt0067778","42501","1","https://www.imdb.com/title/tt0067778/","https://letterboxd.com/film/murmur-of-the-heart/"
"blood-for-dracula","Blood for Dracula","1974","Paul Morrissey","103","tt0071233","25944","2","https://www.imdb.com/title/tt0071233/","https://letterboxd.com/film/blood-for-dracula/"
"insomnia","Insomnia","1997","Erik Skjoldbjærg","96","tt0119375","26610","1","https://www.imdb.com/title/tt0119375/","https://letterboxd.com/film/insomnia/"
"certified-copy","Certified Copy","2010","Abbas Kiarostami","106","tt1020773","48303","4","https://www.imdb.com/title/tt1020773/","https://letterboxd.com/film/certified-copy/"
"love-jones","Love Jones","1997","Theodore Witcher","109","tt0119572","27322","6","https://www.imdb.com/title/tt0119572/","https://letterboxd.com/film/love-jones/"
"the-peoples-joker","The People's Joker","2022","Vera Drew","92","tt21651430","808482","1","https://www.imdb.com/title/tt21651430/","https://letterboxd.com/film/the-peoples-joker/"
"cold-water","Cold Water","1994","Olivier Assayas","95","tt0109702","64901","3","https://www.imdb.com/title/tt0109702/","https://letterboxd.com/film/cold-water/"
"i-knew-her-well","I Knew Her Well","1965","Antonio Pietrangeli","115","tt0060545","59336","7","https://www.imdb.com/title/tt0060545/","https://letterboxd.com/film/i-knew-her-well/"
"all-dirt-roads-taste-of-salt","All Dirt Roads Taste of Salt","2023","Raven Jackson","97","tt11534720","800227","1","https://www.imdb.com/title/tt11534720/","https://letterboxd.com/film/all-dirt-roads-taste-of-salt/"
"hapax-legomena-iii-critical-mass","Hapax Legomena III: Critical Mass","1971","Hollis Frampton","26","tt0130585","151002","1","https://www.imdb.com/title/tt0130585/","https://letterboxd.com/film/hapax-legomena-iii-critical-mass/"
"louder-than-bombs","Louder Than Bombs","2015","Joachim Trier","109","tt2217859","157827","1","https://www.imdb.com/title/tt2217859/","https://letterboxd.com/film/louder-than-bombs/"
"good-morning","Good Morning","1959","Yasujirō Ozu","94","tt0053134","28276","7","https://www.imdb.com/title/tt0053134/","https://letterboxd.com/film/good-morning/"
"streetwise","Streetwise","1984","Martin Bell","91","tt0088196","42098","6","https://www.imdb.com/title/tt0088196/","https://letterboxd.com/film/streetwise/"
"the-hero-1966","The Hero","1966","Satyajit Ray","118","tt0060742","112999","3","https://www.imdb.com/title/tt0060742/","https://letterboxd.com/film/the-hero-1966/"
"rome-open-city","Rome, Open City","1945","Roberto Rossellini","104","tt0038890","307","5","https://www.imdb.com/title/tt0038890/","https://letterboxd.com/film/rome-open-city/"
"now-voyager","Now, Voyager","1942","Irving Rapper","117","tt0035140","32847","3","https://www.imdb.com/title/tt0035140/","https://letterboxd.com/film/now-voyager/"
"thief","Thief","1981","Michael Mann","123","tt0083190","11524","6","https://www.imdb.com/title/tt0083190/","https://letterboxd.com/film/thief/"
"inland-empire","Inland Empire","2006","David Lynch","180","tt0460829","1730","5","https://www.imdb.com/title/tt0460829/","https://letterboxd.com/film/inland-empire/"
"zatoichis-vengeance","Zatoichi's Vengeance","1966","Tokuzō Tanaka","83","tt0143012","21410","1","https://www.imdb.com/title/tt0143012/","https://letterboxd.com/film/zatoichis-vengeance/"
"dreams","Dreams","1990","Akira Kurosawa","119","tt0100998","12516","5","https://www.imdb.com/title/tt0100998/","https://letterboxd.com/film/dreams/"
"knife-in-the-water","Knife in the Water","1962","Roman Polanski","94","tt0056291","11502","3","https://www.imdb.com/title/tt0056291/","https://letterboxd.com/film/knife-in-the-water/"
"flesh-for-frankenstein","Flesh for Frankenstein","1973","Paul Morrissey","95","tt0071508","3043","2","https://www.imdb.com/title/tt0071508/","https://letterboxd.com/film/flesh-for-frankenstein/"
"visions-of-eight","Visions of Eight","1973","Miloš Forman, Kon Ichikawa, Arthur Penn, John Schlesinger, Mai Zetterling, Claude Lelouch, Michael Pfleghar, Yuri Ozerov","110","tt0070884","73319","1","https://www.imdb.com/title/tt0070884/","https://letterboxd.com/film/visions-of-eight/"
"symbiopsychotaxiplasm-take-one","Symbiopsychotaxiplasm: Take One","1968","William Greaves","75","tt0296881","44783","4","https://www.imdb.com/title/tt0296881/","https://letterboxd.com/film/symbiopsychotaxiplasm-take-one/"
"funny-games","Funny Games","1997","Michael Haneke","109","tt0119167","10234","8","https://www.imdb.com/title/tt0119167/","https://letterboxd.com/film/funny-games/"
"window-water-baby-moving","Window Water Baby Moving","1959","Stan Brakhage","13","tt0138941","97513","3","https://www.imdb.com/title/tt0138941/","https://letterboxd.com/film/window-water-baby-moving/"
"the-importance-of-being-earnest","The Importance of Being Earnest","1952","Anthony Asquith","95","tt0044744","20324","1","https://www.imdb.com/title/tt0044744/","https://letterboxd.com/film/the-importance-of-being-earnest/"
"juliet-of-the-spirits","Juliet of the Spirits","1965","Federico Fellini","148","tt0059229","19120","19","https://www.imdb.com/title/tt0059229/","https://letterboxd.com/film/juliet-of-the-spirits/"
"scott-pilgrim-vs-the-world","Scott Pilgrim vs. the World","2010","Edgar Wright","113","tt0446029","22538","1","https://www.imdb.com/title/tt0446029/","https://letterboxd.com/film/scott-pilgrim-vs-the-world/"
"violence-at-noon","Violence at Noon","1966","Nagisa Ōshima","99","tt0060486","42720","3","https://www.imdb.com/title/tt0060486/","https://letterboxd.com/film/violence-at-noon/"
"the-seventh-continent","The Seventh Continent","1989","Michael Haneke","107","tt0098327","32761","5","https://www.imdb.com/title/tt0098327/","https://letterboxd.com/film/the-seventh-continent/"
"kwaidan","Kwaidan","1964","Masaki Kobayashi","183","tt0058279","30959","4","https://www.imdb.com/title/tt0058279/","https://letterboxd.com/film/kwaidan/"
"the-tramp-and-the-dictator","The Tramp and the Dictator","2002","Kevin Brownlow, Michael Kloft","55","tt0311929","128890","1","https://www.imdb.com/title/tt0311929/","https://letterboxd.com/film/the-tramp-and-the-dictator/"
"monsieur-hulots-holiday","Monsieur Hulot's Holiday","1953","Jacques Tati","87","tt0046487","778","21","https://www.imdb.com/title/tt0046487/","https://letterboxd.com/film/monsieur-hulots-holiday/"
"la-notte","La Notte","1961","Michelangelo Antonioni","122","tt0054130","41050","9","https://www.imdb.com/title/tt0054130/","https://letterboxd.com/film/la-notte/"
"the-immortal-story","The Immortal Story","1968","Orson Welles","58","tt0063127","84636","1","https://www.imdb.com/title/tt0063127/","https://letterboxd.com/film/the-immortal-story/"
"malcolm-x-1992","Malcolm X","1992","Spike Lee","202","tt0104797","1883","10","https://www.imdb.com/title/tt0104797/","https://letterboxd.com/film/malcolm-x-1992/"
"irreversible","Irreversible","2002","Gaspar Noé","93","tt0290673","979","1","https://www.imdb.com/title/tt0290673/","https://letterboxd.com/film/irreversible/"
"parade","Parade","1974","Jacques Tati","90","tt0071968","58655","21","https://www.imdb.com/title/tt0071968/","https://letterboxd.com/film/parade/"
"the-game","The Game","1997","David Fincher","129","tt0119174","2649","4","https://www.imdb.com/title/tt0119174/","https://letterboxd.com/film/the-game/"
"the-wonder-ring","The Wonder Ring","1955","Stan Brakhage","6","tt0278151","147676","3","https://www.imdb.com/title/tt0278151/","https://letterboxd.com/film/the-wonder-ring/"
"walpurgis-night","Walpurgis Night","1935","Gustaf Edgren","82","tt0027164","75988","1","https://www.imdb.com/title/tt0027164/","https://letterboxd.com/film/walpurgis-night/"
"lady-snowblood","Lady Snowblood","1973","Toshiya Fujita","97","tt0158714","2487","1","https://www.imdb.com/title/tt0158714/","https://letterboxd.com/film/lady-snowblood/"
"o-seasons-o-castles","O Seasons, O Castles","1958","Agnès Varda","21","tt0050788","278727","4","https://www.imdb.com/title/tt0050788/","https://letterboxd.com/film/o-seasons-o-castles/"
"tangerine","Tangerine","2015","Sean Baker","87","tt3824458","308084","1","https://www.imdb.com/title/tt3824458/","https://letterboxd.com/film/tangerine/"
"the-life-and-death-of-colonel-blimp","The Life and Death of Colonel Blimp","1943","Emeric Pressburger, Michael Powell","163","tt0036112","25037","3","https://www.imdb.com/title/tt0036112/","https://letterboxd.com/film/the-life-and-death-of-colonel-blimp/"
"police-story-2","Police Story 2","1988","Jackie Chan","105","tt0095403","10753","6","https://www.imdb.com/title/tt0095403/","https://letterboxd.com/film/police-story-2/"
