"name","slug","visit_date","visit_year","is_group","occupations","n_picks","video","list_url"
"Bill Hader's Second","bill-haders-second-criterion-closet-picks","2024-07-22","2024","0","return-visits;actors;writers;tv-writer;directors","35","https://www.youtube.com/watch?v=y2TK8IHWIcY","https://letterboxd.com/closetpicks/list/bill-haders-second-criterion-closet-picks/"
"Claire Denis","claire-deniss-criterion-closet-picks","2018-08-07","2018","0","directors;writers","10","https://www.youtube.com/watch?v=60ANFzjSnLo","https://letterboxd.com/closetpicks/list/claire-deniss-criterion-closet-picks/"
"Kim Morgan","kim-morgans-criterion-closet-picks","2025-12-02","2025","0","writers;critic","11","https://youtu.be/_VIKYAIu23o","https://letterboxd.com/closetpicks/list/kim-morgans-criterion-closet-picks/"
"Jim Jarmusch","jim-jarmuschs-criterion-closet-picks","2026-01-16","2026","0","writers;directors","16","https://www.youtube.com/watch?v=_miFRuKBw8o&amp;list=WL&amp;index=9","https://letterboxd.com/closetpicks/list/jim-jarmuschs-criterion-closet-picks/"
"André Bonzel","andre-bonzels-criterion-closet-picks","2011-11-03","2011","0","writers;directors;cinematographers","7","https://www.youtube.com/watch?v=M0vs4ni4Tuo","https://letterboxd.com/closetpicks/list/andre-bonzels-criterion-closet-picks/"
"Philip Kaufman","philip-kaufmans-criterion-closet-picks","2012-04-11","2012","0","actors","11","https://www.youtube.com/watch?v=5sMFHvBEvKI","https://letterboxd.com/closetpicks/list/philip-kaufmans-criterion-closet-picks/"
"Barbie Ferreira","barbie-ferreiras-criterion-closet-picks","2025-04-03","2025","0","actors","18","https://youtu.be/RpttR1gI91Q","https://letterboxd.com/closetpicks/list/barbie-ferreiras-criterion-closet-picks/"
"Adrian Utley","adrian-utleys-criterion-closet-picks","2011-10-04","2011","0","musicians","5","https://www.youtube.com/watch?v=ZqNSY5xz_r8","https://letterboxd.com/closetpicks/list/adrian-utleys-criterion-closet-picks/"
"Paul Dano","paul-danos-criterion-closet-picks","2019-06-25","2019","0","actors;directors","12","https://www.youtube.com/watch?v=1dWuslij1o8","https://letterboxd.com/closetpicks/list/paul-danos-criterion-closet-picks/"
"Colin Quinn","colin-quinns-criterion-closet-picks","2021-11-09","2021","0","comedians;actors","9","https://www.youtube.com/watch?v=suNwxjzS6a8","https://letterboxd.com/closetpicks/list/colin-quinns-criterion-closet-picks/"
"Asif Kapadia","asif-kapadias-criterion-closet-picks","2016-02-25","2016","0","directors;documentarians","21","https://www.youtube.com/watch?v=fIj80K2AGnY","https://letterboxd.com/closetpicks/list/asif-kapadias-criterion-closet-picks/"
"Kahlil Joseph","kahlil-josephs-closet-picks","2025-10-07","2025","0","directors;artist","5","https://youtu.be/PPw7sJJkQFY","https://letterboxd.com/closetpicks/list/kahlil-josephs-closet-picks/"
"André Holland","andre-hollands-criterion-closet-picks","2024-10-08","2024","0","actors;missing-links","10","https://www.youtube.com/watch?v=YsOm4L6yzMg","https://letterboxd.com/closetpicks/list/andre-hollands-criterion-closet-picks/"
"Guy Nattiv","guy-nattivs-criterion-closet-picks","2023-08-24","2023","0","directors","2","","https://letterboxd.com/closetpicks/list/guy-nattivs-criterion-closet-picks/"
"Margaret Qualley","margaret-qualleys-criterion-closet-picks","2025-07-20","2025","0","actors","6","https://youtu.be/Ddh6FBvHFi0","https://letterboxd.com/closetpicks/list/margaret-qualleys-criterion-closet-picks/"
"Nuri Bilge Ceylan","nuri-bilge-ceylans-criterion-closet-picks","2023-10-09","2024","0","writers;directors","56","https://www.youtube.com/watch?v=6dIOWv_3CeM","https://letterboxd.com/closetpicks/list/nuri-bilge-ceylans-criterion-closet-picks/"
"Rebecca Miller","rebecca-millers-criterion-closet-picks","2023-07-31","2023","0","directors","8","https://www.youtube.com/watch?v=FcyNcbgapbE","https://letterboxd.com/closetpicks/list/rebecca-millers-criterion-closet-picks/"
"Nathan Lane","nathan-lanes-criterion-closet-picks","2021-06-09","2021","0","actors","13","https://www.youtube.com/watch?v=iQfYMeRjR1g","https://letterboxd.com/closetpicks/list/nathan-lanes-criterion-closet-picks/"
"Ken Burns","ken-burns-criterion-closet-picks","2024-11-04","2024","0","documentarians","20","https://www.youtube.com/watch?v=NCTUZ7bX0SE","https://letterboxd.com/closetpicks/list/ken-burns-criterion-closet-picks/"
"Theodore Witcher","theodore-witchers-criterion-closet-picks","2022-03-30","2022","0","writers;directors","14","https://www.youtube.com/watch?v=t4XEKJ9mI9A","https://letterboxd.com/closetpicks/list/theodore-witchers-criterion-closet-picks/"
"Dan Levy","dan-levys-criterion-closet-picks","2023-12-13","2024","0","writers;directors;actors","10","https://www.youtube.com/watch?v=-EV0KTf55F0","https://letterboxd.com/closetpicks/list/dan-levys-criterion-closet-picks/"
"Anne Alvergue and Debra McClutchy","anne-alvergue-and-debra-mcclutchys-criterion","2023-02-28","2023","1","documentarians","11","","https://letterboxd.com/closetpicks/list/anne-alvergue-and-debra-mcclutchys-criterion/"
"Jennifer Kent","jennifer-kents-criterion-closet-picks","2024-09-17","2024","0","directors","10","https://www.youtube.com/watch?v=4puN5ASOPG","https://letterboxd.com/closetpicks/list/jennifer-kents-criterion-closet-picks/"
"That One Time Five Comics Raided The","that-one-time-five-comics-raided-the-criterion","2019-02-13","2019","1","comedians","28","https://www.youtube.com/watch?v=d7zuU2a_Tt4","https://letterboxd.com/closetpicks/list/that-one-time-five-comics-raided-the-criterion/"
"Edgar Wright's Second","edgar-wrights-second-criterion-closet-picks","2025-10-09","2025","0","return-visits;directors;writers","15","https://youtu.be/f-bklvjQftk","https://letterboxd.com/closetpicks/list/edgar-wrights-second-criterion-closet-picks/"
"Moses Bwayo & Christopher Sharp","moses-bwayo-christopher-sharps-criterion","2024-02-07","2024","1","documentarians","10","","https://letterboxd.com/closetpicks/list/moses-bwayo-christopher-sharps-criterion/"
"Agnès Varda","agnes-vardas-criterion-closet-picks","2017-10-03","2017","0","directors;artist;professors;photographer","7","https://www.youtube.com/watch?v=s7Jx0Pjq_kQ","https://letterboxd.com/closetpicks/list/agnes-vardas-criterion-closet-picks/"
"Michelle Zauner","michelle-zauners-criterion-closet-picks","2025-02-12","2025","0","author;musicians","23","https://www.youtube.com/watch?v=gmeWU8oqy-A","https://letterboxd.com/closetpicks/list/michelle-zauners-criterion-closet-picks/"
"Lucy Liu","lucy-lius-criterion-closet-picks","2025-10-27","2025","0","actors;producers","15","https://youtu.be/NnldiqFIStY","https://letterboxd.com/closetpicks/list/lucy-lius-criterion-closet-picks/"
"Shinichiro Watanabe","shinichiro-watanabes-criterion-closet-picks","2025-11-24","2025","0","writers;directors","14","https://youtu.be/kwoCtvdYYSo","https://letterboxd.com/closetpicks/list/shinichiro-watanabes-criterion-closet-picks/"
"Bill Hader","bill-haders-criterion-closet-picks","2011-04-18","2011","0","comedians;actors","6","https://www.youtube.com/watch?v=348qOuXOAXo","https://letterboxd.com/closetpicks/list/bill-haders-criterion-closet-picks/"
"Sally Potter","sally-potters-criterion-closet-picks","2022-11-18","2022","0","writers;directors","8","https://www.youtube.com/watch?v=LIBhzriiG-g","https://letterboxd.com/closetpicks/list/sally-potters-criterion-closet-picks/"
"Alessandro Borghi, Felix van Groeningen, and Charlotte Vandermeersch","alessandro-borghi-felix-van-groeningen-and","2023-05-18","2023","1","directors;actors","18","https://www.youtube.com/watch?v=gDK8bLi2PoA","https://letterboxd.com/closetpicks/list/alessandro-borghi-felix-van-groeningen-and/"
"John Early and Theda Hammel","john-early-and-theda-hammels-criterion-closet","2024-04-17","2024","1","actors;directors;writers","14","","https://letterboxd.com/closetpicks/list/john-early-and-theda-hammels-criterion-closet/"
"Mackenzie Davis","mackenzie-davis-criterion-closet-picks","2024-09-12","2024","0","actors","12","","https://letterboxd.com/closetpicks/list/mackenzie-davis-criterion-closet-picks/"
"Payal Kapadia","payal-kapadias-criterion-closet-picks","2024-10-07","2024","0","directors;writers","47","https://www.youtube.com/watch?v=CzKnRQkPXdg","https://letterboxd.com/closetpicks/list/payal-kapadias-criterion-closet-picks/"
"Zelda Williams","zelda-williams-criterion-closet-picks","2024-01-31","2024","0","directors","8","","https://letterboxd.com/closetpicks/list/zelda-williams-criterion-closet-picks/"
"Jacques Audiard","jacques-audiards-criterion-closet-picks","2024-10-16","2024","0","writers;directors","24","https://www.youtube.com/watch?v=kgkI4ZRJkvU","https://letterboxd.com/closetpicks/list/jacques-audiards-criterion-closet-picks/"
"Callum Turner","callum-turners-criterion-closet-picks","2023-01-24","2024","0","actors","35","https://youtu.be/cQJp-FoH0Es","https://letterboxd.com/closetpicks/list/callum-turners-criterion-closet-picks/"
"Gael García Bernal","gael-garcia-bernals-criterion-closet-picks","2023-12-08","2024","0","actors","8","https://www.youtube.com/watch?v=oJxXni9bo3g","https://letterboxd.com/closetpicks/list/gael-garcia-bernals-criterion-closet-picks/"
"Sam and Reed Harkness & Jason Reid","sam-and-reed-harkness-jason-reids-criterion","2023-12-16","2023","1","directors;documentarians;producers","17","","https://letterboxd.com/closetpicks/list/sam-and-reed-harkness-jason-reids-criterion/"
"Gina Prince-Bythewood","gina-prince-bythewoods-criterion-closet-picks","2022-09-18","2023","0","directors;writers","18","https://www.youtube.com/watch?v=42NzYofW5eM","https://letterboxd.com/closetpicks/list/gina-prince-bythewoods-criterion-closet-picks/"
"William Friedkin","william-friedkins-criterion-closet-picks","2014-10-02","2014","0","directors","7","https://www.youtube.com/watch?v=63VRJQYcNn0","https://letterboxd.com/closetpicks/list/william-friedkins-criterion-closet-picks/"
"Ryusuke Hamaguchi","ryusuke-hamaguchis-criterion-closet-picks","2024-05-02","2024","0","directors;writers","26","https://youtu.be/4xQfOvRfWno?si=EIcSMIgdb2QJiYz3","https://letterboxd.com/closetpicks/list/ryusuke-hamaguchis-criterion-closet-picks/"
"Alicia Silverstone","alicia-silverstones-criterion-closet-picks","2025-08-06","2025","0","actors","8","https://youtu.be/Rb096RLBiZI","https://letterboxd.com/closetpicks/list/alicia-silverstones-criterion-closet-picks/"
"Ronan Farrow","ronan-farrows-criterion-closet-picks","2025-07-30","2025","0","journalists;author","8","https://youtu.be/9rWNIjNh3sE","https://letterboxd.com/closetpicks/list/ronan-farrows-criterion-closet-picks/"
"Mark Duplass","mark-duplass-criterion-closet-picks","2025-09-09","2025","0","directors;writers;actors","21","https://www.youtube.com/watch?v=6BP4x9kxi7s","https://letterboxd.com/closetpicks/list/mark-duplass-criterion-closet-picks/"
"Sophy Romvari","sophy-romvaris-criterion-closet-picks","2026-03-19","2026","0","writers;directors","5","https://youtu.be/ziMJzKbYF4g","https://letterboxd.com/closetpicks/list/sophy-romvaris-criterion-closet-picks/"
"Claire Danes","claire-danes-criterion-closet-picks","2025-10-02","2025","0","actors","8","https://youtu.be/nudBFPgWGGA","https://letterboxd.com/closetpicks/list/claire-danes-criterion-closet-picks/"
"Isabella Rossellini","isabella-rossellinis-criterion-closet-picks","2023-04-23","2023","0","actors;directors;author;models","18","","https://letterboxd.com/closetpicks/list/isabella-rossellinis-criterion-closet-picks/"
"Simone and Amedeo Pace","simone-and-amedeo-paces-criterion-closet","2024-01-23","2024","1","musicians","5","","https://letterboxd.com/closetpicks/list/simone-and-amedeo-paces-criterion-closet/"
"David Cronenberg","david-cronenbergs-criterion-closet-picks","2025-04-16","2025","0","directors","45","https://youtu.be/UUM9Wrn2F3c","https://letterboxd.com/closetpicks/list/david-cronenbergs-criterion-closet-picks/"
"Gakuryu Ishii","gakuryu-ishiis-criterion-closet-picks","2024-07-14","2024","0","directors","2","","https://letterboxd.com/closetpicks/list/gakuryu-ishiis-criterion-closet-picks/"
"Nathalie Emmanuel","nathalie-emmanuels-criterion-closet-picks","2024-09-24","2024","0","actors","10","https://www.youtube.com/watch?v=TsPxucCV4dU","https://letterboxd.com/closetpicks/list/nathalie-emmanuels-criterion-closet-picks/"
"Ari Aster","ari-asters-criterion-closet-picks","2023-04-19","2023","0","directors","30","https://www.youtube.com/watch?v=psV-DcsnU1Y","https://letterboxd.com/closetpicks/list/ari-asters-criterion-closet-picks/"
"Diane Kruger","diane-krugers-criterion-closet-picks","2025-04-15","2025","0","actors","10","https://www.youtube.com/watch?v=Y8ZAGd2IBaU","https://letterboxd.com/closetpicks/list/diane-krugers-criterion-closet-picks/"
"Betsey Johnson","betsey-johnsons-criterion-closet-picks","2025-07-30","2025","0","fashion-designers","5","https://www.youtube.com/watch?v=BlsETid3hSw","https://letterboxd.com/closetpicks/list/betsey-johnsons-criterion-closet-picks/"
"Janelle Monáe","janelle-monaes-criterion-closet-picks","2024-09-30","2024","0","actors;musicians;producers","5","https://youtu.be/iBpffnfc3AI","https://letterboxd.com/closetpicks/list/janelle-monaes-criterion-closet-picks/"
"Bowen Yang","bowen-yangs-criterion-closet-picks","2025-03-12","2025","0","actors","46","https://youtu.be/CWsXjptCScU","https://letterboxd.com/closetpicks/list/bowen-yangs-criterion-closet-picks/"
"John Slattery","john-slatterys-criterion-closet-picks","2026-03-03","2026","0","actors;directors","5","https://youtu.be/B_Rhewt6f1E","https://letterboxd.com/closetpicks/list/john-slatterys-criterion-closet-picks/"
"Andrew Haigh and Charlotte Rampling","andrew-haigh-and-charlotte-ramplings-criterion","2015-12-23","2015","1","actors;directors;editors;writers","16","https://www.youtube.com/watch?v=F3-hyGZuyqk","https://letterboxd.com/closetpicks/list/andrew-haigh-and-charlotte-ramplings-criterion/"
"Euzhan Palcy","euzhan-palcys-criterion-closet-picks","2019-04-24","2019","0","directors","17","https://www.youtube.com/watch?v=L5P4n_sxkA0&amp;list=PL7D89754A5DAD1E8E&amp;index=93","https://letterboxd.com/closetpicks/list/euzhan-palcys-criterion-closet-picks/"
"Sam Esmail","sam-esmails-criterion-closet-picks","2023-11-09","2023","0","writers;directors","6","","https://letterboxd.com/closetpicks/list/sam-esmails-criterion-closet-picks/"
"Cillian Murphy","cillian-murphys-criterion-closet-picks","2025-09-08","2025","0","actors","19","https://www.youtube.com/watch?v=v4Ze7Yo9jgY","https://letterboxd.com/closetpicks/list/cillian-murphys-criterion-closet-picks/"
"Zeinabu irene Davis","zeinabu-irene-daviss-criterion-closet-picks","2024-10-07","2024","0","directors;professors","20","https://www.youtube.com/watch?v=23Mi6YwElYw","https://letterboxd.com/closetpicks/list/zeinabu-irene-daviss-criterion-closet-picks/"
"Guillermo del Toro","guillermo-del-toros-criterion-closet-picks","2013-01-14","2013","0","directors","9","https://www.youtube.com/watch?v=49Al7eYy6sg","https://letterboxd.com/closetpicks/list/guillermo-del-toros-criterion-closet-picks/"
"Harris Savides","harris-savides-criterion-closet-picks","2012-04-23","2012","0","cinematographers","14","https://www.youtube.com/watch?v=cQFAPBbjsaI","https://letterboxd.com/closetpicks/list/harris-savides-criterion-closet-picks/"
"Andrew Stanton","andrew-stantons-criterion-closet-picks","2024-11-26","2024","0","directors;writers;missing-links","6","https://youtu.be/lit_b1g7M6s","https://letterboxd.com/closetpicks/list/andrew-stantons-criterion-closet-picks/"
"Isaach De Bankole","isaach-de-bankoles-criterion-closet-picks","2010-12-09","2010","0","actors","9","","https://letterboxd.com/closetpicks/list/isaach-de-bankoles-criterion-closet-picks/"
"Paul Rudd","paul-rudds-criterion-closet-picks","2026-05-18","2026","0","actors","8","https://youtu.be/ZTvRQRTVdqA","https://letterboxd.com/closetpicks/list/paul-rudds-criterion-closet-picks/"
"Pauline Chalamet","pauline-chalamets-criterion-closet-picks","2023-03-28","2023","0","actors","19","https://www.youtube.com/watch?v=muWBBWZpd4Q","https://letterboxd.com/closetpicks/list/pauline-chalamets-criterion-closet-picks/"
"Mark Mothersbaugh & Gerald Casale","mark-mothersbaugh-gerald-casales-criterion","2024-01-28","2024","1","musicians","27","https://www.youtube.com/watch?v=B-aQkQrZP24","https://letterboxd.com/closetpicks/list/mark-mothersbaugh-gerald-casales-criterion/"
"Matthew Rhys","matthew-rhyss-criterion-closet-picks","2026-04-23","2026","0","actors","8","https://youtu.be/r0-5G6-g7WI","https://letterboxd.com/closetpicks/list/matthew-rhyss-criterion-closet-picks/"
"Daniels","daniels-criterion-closet-picks","2023-02-03","2023","1","writers;directors","33","https://www.youtube.com/watch?v=ZpZXgO_3vN4","https://letterboxd.com/closetpicks/list/daniels-criterion-closet-picks/"
"Christoph Waltz","christoph-waltzs-criterion-closet-picks","2026-02-05","2026","0","actors;directors;producers","9","https://youtu.be/fJcVa4vYMHs?si=i2-rVmbzGYJ7A2Vu","https://letterboxd.com/closetpicks/list/christoph-waltzs-criterion-closet-picks/"
"Julio Torres","julio-torres-criterion-closet-picks","2023-07-10","2024","0","actors;writers;directors;comedians","13","https://www.youtube.com/watch?v=elTc11bMkDs","https://letterboxd.com/closetpicks/list/julio-torres-criterion-closet-picks/"
"Kei Chika-ura","kei-chika-uras-criterion-closet-picks","2024-07-18","2024","0","directors","2","","https://letterboxd.com/closetpicks/list/kei-chika-uras-criterion-closet-picks/"
"Jeanie Finlay","jeanie-finlays-criterion-closet-picks","2023-06-08","2023","0","directors;documentarians","2","","https://letterboxd.com/closetpicks/list/jeanie-finlays-criterion-closet-picks/"
"Lily Gladstone and Erica Tremblay","lily-gladstone-and-erica-tremblays-criterion","2024-06-14","2024","1","directors;actors","28","https://youtu.be/pI7Nje89peA","https://letterboxd.com/closetpicks/list/lily-gladstone-and-erica-tremblays-criterion/"
"Yorgos Lanthimos and Ariane Labed","yorgos-lanthimos-and-ariane-labeds-criterion","2016-05-12","2016","1","directors;actors","14","https://www.youtube.com/watch?v=3QAY9OY-ho4","https://letterboxd.com/closetpicks/list/yorgos-lanthimos-and-ariane-labeds-criterion/"
"Ben Affleck","ben-afflecks-criterion-closet-picks","2025-04-21","2025","0","actors;writers;producers;directors","13","https://www.youtube.com/watch?v=3TJ2BlReus0","https://letterboxd.com/closetpicks/list/ben-afflecks-criterion-closet-picks/"
"Yong-man Kim","yong-man-kim-criterion-closet-picks","2024-04-11","2024","0","historian","3","","https://letterboxd.com/closetpicks/list/yong-man-kim-criterion-closet-picks/"
"Kerry Condon","kerry-condons-criterion-closet-picks","2024-03-28","2024","0","actors","12","https://www.youtube.com/watch?v=8kII05HTS6c","https://letterboxd.com/closetpicks/list/kerry-condons-criterion-closet-picks/"
"Tran Anh Hung","tran-anh-hungs-criterion-closet-picks","2024-02-08","2024","0","directors;writers","4","","https://letterboxd.com/closetpicks/list/tran-anh-hungs-criterion-closet-picks/"
"Alexander Payne","alexander-paynes-criterion-closet-picks","2017-12-06","2017","0","writers;directors","13","https://www.youtube.com/watch?v=vMypwNZ2JBI","https://letterboxd.com/closetpicks/list/alexander-paynes-criterion-closet-picks/"
"Walter Salles","walter-salles-criterion-closet-picks","2025-01-06","2025","0","directors","7","https://youtu.be/KmsLWBUOVk8","https://letterboxd.com/closetpicks/list/walter-salles-criterion-closet-picks/"
"Ron Shelton","ron-sheltons-criterion-closet-picks","2022-11-03","2022","0","directors;author","7","https://www.youtube.com/watch?v=Ubj-944IcYI","https://letterboxd.com/closetpicks/list/ron-sheltons-criterion-closet-picks/"
"John David Washington & Malcolm Washington","john-david-washington-malcolm-washingtons","2025-01-09","2025","1","actors;directors","62","https://youtu.be/-Tc0JZz6hFM","https://letterboxd.com/closetpicks/list/john-david-washington-malcolm-washingtons/"
"Caitlin Cronenberg","caitlin-cronenberg-criterion-closet-picks","2024-04-23","2024","0","directors","4","","https://letterboxd.com/closetpicks/list/caitlin-cronenberg-criterion-closet-picks/"
"Pawo Choyning Dorji","pawo-choyning-dorjis-criterion-closet-picks","2023-12-12","2023","0","directors;writers;photographer","3","","https://letterboxd.com/closetpicks/list/pawo-choyning-dorjis-criterion-closet-picks/"
"Joel Kim Booster","joel-kim-boosters-criterion-closet-picks","2023-01-22","2024","0","writers;actors;producers;comedians","33","https://www.youtube.com/watch?v=G-GfwsmtLn8","https://letterboxd.com/closetpicks/list/joel-kim-boosters-criterion-closet-picks/"
"Johnnie To","johnnie-tos-criterion-closet-picks","2024-11-25","2024","0","directors","21","https://youtu.be/kGZvmngLfBI","https://letterboxd.com/closetpicks/list/johnnie-tos-criterion-closet-picks/"
"Elegance Bratton","elegance-brattons-criterion-closet-picks","2023-01-10","2023","0","writers;directors","21","https://www.youtube.com/watch?v=7eZDsZWqrBE","https://letterboxd.com/closetpicks/list/elegance-brattons-criterion-closet-picks/"
"RaMell Ross","ramell-ross-criterion-closet-picks","2024-10-01","2024","0","directors;writers","24","https://www.youtube.com/watch?v=AVfkV5F4XL0","https://letterboxd.com/closetpicks/list/ramell-ross-criterion-closet-picks/"
"Cord Jefferson","cord-jeffersons-criterion-closet-picks","2023-10-06","2023","0","writers;directors","5","","https://letterboxd.com/closetpicks/list/cord-jeffersons-criterion-closet-picks/"
"Marco Bellocchio","marco-bellocchios-criterion-closet-picks","2020-02-04","2020","0","directors","7","https://www.youtube.com/watch?v=3xJ0c1haJfc","https://letterboxd.com/closetpicks/list/marco-bellocchios-criterion-closet-picks/"
"Paul W. Downs","paul-w-downs-criterion-closet-picks","2025-04-10","2025","0","writers;tv-writer;directors;actors","5","https://youtu.be/Q7hCDVR1o-U","https://letterboxd.com/closetpicks/list/paul-w-downs-criterion-closet-picks/"
"Simon Pegg","simon-peggs-criterion-closet-picks","2025-05-19","2025","0","actors;writers;comedians","4","https://youtu.be/vIYr2eAlazo","https://letterboxd.com/closetpicks/list/simon-peggs-criterion-closet-picks/"
"Neal Brennan","neal-brennans-criterion-closet-picks","2022-11-28","2024","0","comedians;writers;directors","9","","https://letterboxd.com/closetpicks/list/neal-brennans-criterion-closet-picks/"
"Thierry Frémaux","thierry-fremauxs-criterion-closet-picks","2026-01-09","2026","0","festival-organizers","28","https://youtu.be/h1NsxFbPT-U","https://letterboxd.com/closetpicks/list/thierry-fremauxs-criterion-closet-picks/"
"Ben Whishaw","ben-whishaws-criterion-closet-picks","2025-09-26","2025","0","actors","6","https://youtu.be/8kKR9UakxQQ","https://letterboxd.com/closetpicks/list/ben-whishaws-criterion-closet-picks/"
"Dylan Baker","dylan-bakers-criterion-closet-picks","2024-05-06","2024","0","actors;missing-links","8","https://www.youtube.com/watch?v=cZmkXn4wgHA","https://letterboxd.com/closetpicks/list/dylan-bakers-criterion-closet-picks/"
"Barry Jenkins","barry-jenkins-criterion-closet-picks","2017-01-24","2018","0","directors","44","https://www.youtube.com/watch?v=R7HLpe65fHY","https://letterboxd.com/closetpicks/list/barry-jenkins-criterion-closet-picks/"
"Sara Dosa","sara-dosas-criterion-closet-picks","2023-02-24","2023","0","directors;documentarians","29","https://www.youtube.com/watch?v=-thqiKKZack","https://letterboxd.com/closetpicks/list/sara-dosas-criterion-closet-picks/"
"John Lithgow","john-lithgows-criterion-closet-picks","2024-11-21","2024","0","actors","11","https://www.youtube.com/watch?v=on1zBg40eJ4","https://letterboxd.com/closetpicks/list/john-lithgows-criterion-closet-picks/"
"Nick Lowe","nick-lowes-criterion-closet-picks","2024-07-30","2024","0","musicians","6","https://youtu.be/4d1HdrVMr1k","https://letterboxd.com/closetpicks/list/nick-lowes-criterion-closet-picks/"
"Franklin Leonard","franklin-leonards-criterion-closet-picks","2025-04-20","2025","0","directors","16","https://www.youtube.com/watch?v=5YfyrBaAWpE","https://letterboxd.com/closetpicks/list/franklin-leonards-criterion-closet-picks/"
"Eric Bana","eric-banas-criterion-closet-picks","2024-05-09","2024","0","actors","2","","https://letterboxd.com/closetpicks/list/eric-banas-criterion-closet-picks/"
"Zach Clark","zach-clarks-criterion-closet-picks","2024-08-22","2024","0","editors;writers;directors","3","","https://letterboxd.com/closetpicks/list/zach-clarks-criterion-closet-picks/"
"Jamie Lee Curtis","jamie-lee-curtis-criterion-closet-picks","2025-07-27","2025","0","actors","13","https://youtu.be/oZlpLwWeKvA","https://letterboxd.com/closetpicks/list/jamie-lee-curtis-criterion-closet-picks/"
"Jason Schwartzman","jason-schwartzmans-criterion-closet-picks","2023-06-13","2024","0","actors","17","https://www.youtube.com/watch?v=92yxBp7tce4","https://letterboxd.com/closetpicks/list/jason-schwartzmans-criterion-closet-picks/"
"Koji Yakusho","koji-yakushos-criterion-closet-picks","2023-12-11","2023","0","actors","5","","https://letterboxd.com/closetpicks/list/koji-yakushos-criterion-closet-picks/"
"Minhal Baig","minhal-baigs-criterion-closet-picks","2024-04-18","2024","0","directors;writers","4","","https://letterboxd.com/closetpicks/list/minhal-baigs-criterion-closet-picks/"
"Paul Scheer","paul-scheers-criterion-closet-picks","2024-05-20","2024","0","comedians;actors;letterboxd-members","7","https://www.youtube.com/watch?v=uzhNKMIoq3E","https://letterboxd.com/closetpicks/list/paul-scheers-criterion-closet-picks/"
"Ben Sinclair","ben-sinclairs-criterion-closet-picks","2020-03-02","2020","0","actors;writers;tv-writer","9","https://www.youtube.com/watch?v=dydNJiJ8dCA","https://letterboxd.com/closetpicks/list/ben-sinclairs-criterion-closet-picks/"
"Diego Calva","diego-calvas-criterion-closet-picks","2026-01-07","2026","0","actors","18","https://youtu.be/ZJF_asiGU3c","https://letterboxd.com/closetpicks/list/diego-calvas-criterion-closet-picks/"
"Bob and Erin Odenkirk","bob-and-erin-odenkirks-criterion-closet-picks","2023-12-02","2023","1","actors;writers;directors;artist","13","","https://letterboxd.com/closetpicks/list/bob-and-erin-odenkirks-criterion-closet-picks/"
"Jane Schoenbrun","jane-schoenbruns-criterion-closet-picks","2024-04-15","2024","0","writers;directors","17","","https://letterboxd.com/closetpicks/list/jane-schoenbruns-criterion-closet-picks/"
"Aitch Alberto","aitch-albertos-criterion-closet-picks","2023-09-07","2023","0","writers;directors","4","","https://letterboxd.com/closetpicks/list/aitch-albertos-criterion-closet-picks/"
"Lana Wilson","lana-wilsons-criterion-closet-picks","2024-09-16","2024","0","directors","5","","https://letterboxd.com/closetpicks/list/lana-wilsons-criterion-closet-picks/"
"Carrie Coon","carrie-coons-criterion-closet-picks","2025-02-19","2024","0","actors","20","https://www.youtube.com/watch?v=CgaVmNJscms","https://letterboxd.com/closetpicks/list/carrie-coons-criterion-closet-picks/"
"Wilco","wilcos-criterion-closet-picks","2022-08-18","2022","1","musicians","18","https://www.youtube.com/watch?v=jhkXwYOwU5g","https://letterboxd.com/closetpicks/list/wilcos-criterion-closet-picks/"
"Ethan and Maya Hawke","ethan-and-maya-hawkes-criterion-closet-picks","2024-04-04","2024","1","actors;directors;return-visits","15","https://www.youtube.com/watch?v=YxzCSz-4CIw","https://letterboxd.com/closetpicks/list/ethan-and-maya-hawkes-criterion-closet-picks/"
"Minnie Driver","minnie-drivers-criterion-closet-picks","2022-07-20","2022","0","actors","7","https://www.youtube.com/watch?v=B-7snPxjLQ8","https://letterboxd.com/closetpicks/list/minnie-drivers-criterion-closet-picks/"
"Harris Dickinson","harris-dickinsons-criterion-closet-picks","2024-12-17","2024","0","actors","15","https://www.youtube.com/watch?v=mUrp1Czlkzk","https://letterboxd.com/closetpicks/list/harris-dickinsons-criterion-closet-picks/"
"Tavi Gevinson","tavi-gevinsons-criterion-closet-picks","2018-05-15","2018","0","actors;bloggers;magazine-editors","18","https://youtu.be/6hSwRskOwdU?si=4DzfE0VSPz7jnAWg&amp;t=69","https://letterboxd.com/closetpicks/list/tavi-gevinsons-criterion-closet-picks/"
"Karyn Kusama","karyn-kusamas-criterion-closet-picks","2024-11-20","2024","0","writers;directors","16","https://www.youtube.com/watch?v=QLOziRIYQZo","https://letterboxd.com/closetpicks/list/karyn-kusamas-criterion-closet-picks/"
"Garrett Bradley","garrett-bradleys-criterion-closet-picks","2022-02-24","2022","0","directors;documentarians","33","https://www.youtube.com/watch?v=U7QE6yAGyqc","https://letterboxd.com/closetpicks/list/garrett-bradleys-criterion-closet-picks/"
"Ben Wheatley","ben-wheatleys-criterion-closet-picks","2017-05-02","2017","0","directors","36","https://www.youtube.com/watch?v=vago4fXtJvw","https://letterboxd.com/closetpicks/list/ben-wheatleys-criterion-closet-picks/"
