"title","slug","criterion_spine_number","director","year","country","genres","criterion_url","imdb_id","imdb_url","tmdb_id","tmdb_url","letterboxd_url","pick_count","is_box_set","credits","tmdb_type"
"The Game","the-game","627","David Fincher","1997","","[""Drama"",""Thriller"",""Mystery""]","https://www.criterion.com/films/28058-the-game","tt0119174","https://www.imdb.com/title/tt0119174/","2649","https://www.themoviedb.org/movie/2649","https://letterboxd.com/tmdb/2649","4","0","{""directors"":[{""name"":""David Fincher"",""tmdb_id"":7467}],""writers"":[{""name"":""John Brancato"",""tmdb_id"":7214},{""name"":""Michael Ferris"",""tmdb_id"":7215},{""name"":""Andrew Kevin Walker"",""tmdb_id"":12047},{""name"":""Larry Gross"",""tmdb_id"":1725}],""cinematographers"":[{""name"":""Harris Savides"",""tmdb_id"":10688}],""editors"":[{""name"":""James Haygood"",""tmdb_id"":7480}],""cast"":[{""name"":""Michael Douglas"",""tmdb_id"":3392,""character"":""Nicholas Van Orton""},{""name"":""Sean Penn"",""tmdb_id"":2228,""character"":""Conrad Van Orton""},{""name"":""Deborah Kara Unger"",""tmdb_id"":13549,""character"":""Christine""},{""name"":""James Rebhorn"",""tmdb_id"":8986,""character"":""Jim Feingold""},{""name"":""Peter Donat"",""tmdb_id"":14849,""character"":""Samuel Sutherland""},{""name"":""Carroll Baker"",""tmdb_id"":14701,""character"":""Ilsa""},{""name"":""Anna Katarina"",""tmdb_id"":27570,""character"":""Elizabeth""},{""name"":""Armin Mueller-Stahl"",""tmdb_id"":12647,""character"":""Anson Baer""}]}",""
"The Girl Can’t Help It","the-girl-cant-help-it","1120","Frank Tashlin","1956","","[""Comedy"",""Music""]","https://www.criterion.com/films/29605-the-girl-can-t-help-it","tt0049263","https://www.imdb.com/title/tt0049263/","42839","https://www.themoviedb.org/movie/42839","https://letterboxd.com/tmdb/42839","1","0","{""directors"":[{""name"":""Frank Tashlin"",""tmdb_id"":47399}],""writers"":[{""name"":""Frank Tashlin"",""tmdb_id"":47399},{""name"":""Herbert Baker"",""tmdb_id"":127351}],""cinematographers"":[{""name"":""Leon Shamroy"",""tmdb_id"":13270}],""editors"":[{""name"":""James B. Clark"",""tmdb_id"":38250}],""cast"":[{""name"":""Tom Ewell"",""tmdb_id"":43819,""character"":""Tom Miller""},{""name"":""Jayne Mansfield"",""tmdb_id"":40177,""character"":""Jerri Jordan""},{""name"":""Edmond O'Brien"",""tmdb_id"":8254,""character"":""Marty 'Fats' Murdock""},{""name"":""Henry Jones"",""tmdb_id"":5732,""character"":""Mousie""},{""name"":""Julie London"",""tmdb_id"":50760,""character"":""Herself""},{""name"":""Barry Gordon"",""tmdb_id"":103725,""character"":""Barry the Paperboy""},{""name"":""Ray Anthony"",""tmdb_id"":116741,""character"":""Himself""},{""name"":""John Emery"",""tmdb_id"":35194,""character"":""Wheeler""}]}",""
"The Gold Rush","the-gold-rush","615","Charlie Chaplin","1925","","[""Adventure"",""Comedy"",""Drama""]","https://www.criterion.com/films/27565-the-gold-rush","tt0015864","https://www.imdb.com/title/tt0015864/","962","https://www.themoviedb.org/movie/962","https://letterboxd.com/tmdb/962","1","0","{""directors"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848}],""writers"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848}],""cinematographers"":[{""name"":""Roland Totheroh"",""tmdb_id"":14020}],""editors"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848}],""cast"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848,""character"":""The Lone Prospector""},{""name"":""Mack Swain"",""tmdb_id"":14435,""character"":""Big Jim McKay""},{""name"":""Tom Murray"",""tmdb_id"":14437,""character"":""Black Larsen""},{""name"":""Henry Bergman"",""tmdb_id"":14438,""character"":""Hank Curtis""},{""name"":""Malcolm Waite"",""tmdb_id"":14439,""character"":""Jack Cameron""},{""name"":""Georgia Hale"",""tmdb_id"":14434,""character"":""Georgia""},{""name"":""Jack Adams"",""tmdb_id"":2304591,""character"":""Man in Dance Hall (uncredited)""},{""name"":""Frank Aderias"",""tmdb_id"":4916327,""character"":""Eskimo Child (uncredited)""}]}",""
"The Golden Age of Television","the-golden-age-of-television","495","","2009","","[""Drama""]","https://www.criterion.com/films/3560-the-golden-age-of-television","tt1063408","https://www.imdb.com/title/tt1063408/","409812","https://www.themoviedb.org/movie/409812","https://letterboxd.com/tmdb/409812","1","0","{""directors"":[],""writers"":[],""cinematographers"":[],""editors"":[],""cast"":[]}",""
"The Graduate","the-graduate","800","Mike Nichols","1967","","[""Drama"",""Romance"",""Comedy""]","https://www.criterion.com/films/28578-the-graduate","tt0061722","https://www.imdb.com/title/tt0061722/","37247","https://www.themoviedb.org/movie/37247","https://letterboxd.com/tmdb/37247","3","0","{""directors"":[{""name"":""Mike Nichols"",""tmdb_id"":5342}],""writers"":[{""name"":""Calder Willingham"",""tmdb_id"":10769},{""name"":""Buck Henry"",""tmdb_id"":7795}],""cinematographers"":[{""name"":""Robert Surtees"",""tmdb_id"":10005}],""editors"":[{""name"":""Sam O'Steen"",""tmdb_id"":12015}],""cast"":[{""name"":""Dustin Hoffman"",""tmdb_id"":4483,""character"":""Ben Braddock""},{""name"":""Anne Bancroft"",""tmdb_id"":10774,""character"":""Mrs. Robinson""},{""name"":""Katharine Ross"",""tmdb_id"":9594,""character"":""Elaine Robinson""},{""name"":""Murray Hamilton"",""tmdb_id"":8608,""character"":""Mr. Robinson""},{""name"":""William Daniels"",""tmdb_id"":10775,""character"":""Mr. Braddock""},{""name"":""Elizabeth Wilson"",""tmdb_id"":10776,""character"":""Mrs. Braddock""},{""name"":""Buck Henry"",""tmdb_id"":7795,""character"":""Room Clerk""},{""name"":""Brian Avery"",""tmdb_id"":30050,""character"":""Carl Smith""}]}",""
"The Grand Budapest Hotel","the-grand-budapest-hotel","1025","Wes Anderson","2014","","[""Comedy"",""Drama""]","https://www.criterion.com/films/29601-the-grand-budapest-hotel","tt2278388","https://www.imdb.com/title/tt2278388/","120467","https://www.themoviedb.org/movie/120467","https://letterboxd.com/tmdb/120467","3","0","{""directors"":[{""name"":""Wes Anderson"",""tmdb_id"":5655}],""writers"":[{""name"":""Wes Anderson"",""tmdb_id"":5655}],""cinematographers"":[{""name"":""Robert D. Yeoman"",""tmdb_id"":5667}],""editors"":[{""name"":""Barney Pilling"",""tmdb_id"":71534}],""cast"":[{""name"":""Ralph Fiennes"",""tmdb_id"":5469,""character"":""M. Gustave""},{""name"":""F. Murray Abraham"",""tmdb_id"":1164,""character"":""Mr. Moustafa""},{""name"":""Mathieu Amalric"",""tmdb_id"":8789,""character"":""Serge X.""},{""name"":""Adrien Brody"",""tmdb_id"":3490,""character"":""Dmitri""},{""name"":""Willem Dafoe"",""tmdb_id"":5293,""character"":""Jopling""},{""name"":""Jeff Goldblum"",""tmdb_id"":4785,""character"":""Deputy Kovacs""},{""name"":""Harvey Keitel"",""tmdb_id"":1037,""character"":""Ludwig""},{""name"":""Jude Law"",""tmdb_id"":9642,""character"":""Young Author""}]}",""
"The Great Beauty","the-great-beauty","702","Paolo Sorrentino","2013","","[""Drama""]","https://www.criterion.com/films/28604-the-great-beauty","tt2358891","https://www.imdb.com/title/tt2358891/","179144","https://www.themoviedb.org/movie/179144","https://letterboxd.com/tmdb/179144","2","0","{""directors"":[{""name"":""Paolo Sorrentino"",""tmdb_id"":56194}],""writers"":[{""name"":""Paolo Sorrentino"",""tmdb_id"":56194},{""name"":""Umberto Contarello"",""tmdb_id"":126970}],""cinematographers"":[{""name"":""Luca Bigazzi"",""tmdb_id"":7560}],""editors"":[{""name"":""Cristiano Travaglioli"",""tmdb_id"":1034125}],""cast"":[{""name"":""Toni Servillo"",""tmdb_id"":72782,""character"":""Jep Gambardella""},{""name"":""Carlo Verdone"",""tmdb_id"":89193,""character"":""Romano""},{""name"":""Sabrina Ferilli"",""tmdb_id"":128236,""character"":""Ramona""},{""name"":""Carlo Buccirosso"",""tmdb_id"":120638,""character"":""Lello Cava""},{""name"":""Iaia Forte"",""tmdb_id"":68166,""character"":""Trumeau""},{""name"":""Pamela Villoresi"",""tmdb_id"":137353,""character"":""Viola""},{""name"":""Galatea Ranzi"",""tmdb_id"":137812,""character"":""Stefania""},{""name"":""Franco Graziosi"",""tmdb_id"":5566,""character"":""Conte Colonna""}]}",""
"The Great Dictator","the-great-dictator","565","Charlie Chaplin","1940","","[""Comedy"",""War""]","https://www.criterion.com/films/27605-the-great-dictator","tt0032553","https://www.imdb.com/title/tt0032553/","914","https://www.themoviedb.org/movie/914","https://letterboxd.com/tmdb/914","1","0","{""directors"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848}],""writers"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848}],""cinematographers"":[{""name"":""Karl Struss"",""tmdb_id"":9081},{""name"":""Roland Totheroh"",""tmdb_id"":14020}],""editors"":[{""name"":""Willard Nico"",""tmdb_id"":14021}],""cast"":[{""name"":""Charlie Chaplin"",""tmdb_id"":13848,""character"":""Adenoid Hynkel, Dictator of Tomania / A Jewish Barber""},{""name"":""Paulette Goddard"",""tmdb_id"":14027,""character"":""Hannah""},{""name"":""Jack Oakie"",""tmdb_id"":14028,""character"":""Benzino Napaloni, Dictator of Bacteria""},{""name"":""Reginald Gardiner"",""tmdb_id"":14029,""character"":""Commander Schultz""},{""name"":""Henry Daniell"",""tmdb_id"":10924,""character"":""Garbitsch""},{""name"":""Billy Gilbert"",""tmdb_id"":5464,""character"":""Field Marshal Herring""},{""name"":""Grace Hayle"",""tmdb_id"":14030,""character"":""Madame Napaloni""},{""name"":""Carter DeHaven"",""tmdb_id"":14019,""character"":""Spook""}]}",""
"The Great Escape","the-great-escape","1027","John Sturges","1963","","[""Adventure"",""Drama"",""War""]","https://www.criterion.com/films/29149-the-great-escape","tt0057115","https://www.imdb.com/title/tt0057115/","5925","https://www.themoviedb.org/movie/5925","https://letterboxd.com/tmdb/5925","6","0","{""directors"":[{""name"":""John Sturges"",""tmdb_id"":14520}],""writers"":[{""name"":""James Clavell"",""tmdb_id"":46611},{""name"":""W.R. Burnett"",""tmdb_id"":80728}],""cinematographers"":[{""name"":""Daniel L. Fapp"",""tmdb_id"":5806}],""editors"":[{""name"":""Ferris Webster"",""tmdb_id"":3643}],""cast"":[{""name"":""Steve McQueen"",""tmdb_id"":13565,""character"":""Hilts 'The Cooler King'""},{""name"":""James Garner"",""tmdb_id"":16896,""character"":""Hendley 'The Scrounger'""},{""name"":""Richard Attenborough"",""tmdb_id"":4786,""character"":""Bartlett 'Big X'""},{""name"":""James Donald"",""tmdb_id"":12250,""character"":""Ramsey 'The SBO'""},{""name"":""Charles Bronson"",""tmdb_id"":4960,""character"":""Danny 'Tunnel King'""},{""name"":""Donald Pleasence"",""tmdb_id"":9221,""character"":""Blythe 'The Forger'""},{""name"":""James Coburn"",""tmdb_id"":5563,""character"":""Sedgwick 'Manufacturer'""},{""name"":""Hannes Messemer"",""tmdb_id"":23696,""character"":""Von Luger 'The Kommandant'""}]}",""
"The Grifters","the-grifters","1246","Stephen Frears","1990","","[""Crime"",""Drama""]","https://www.criterion.com/films/30526-the-grifters","tt0099703","https://www.imdb.com/title/tt0099703/","18129","https://www.themoviedb.org/movie/18129","https://letterboxd.com/tmdb/18129","5","0","{""directors"":[{""name"":""Stephen Frears"",""tmdb_id"":3224}],""writers"":[{""name"":""Donald E. Westlake"",""tmdb_id"":21672}],""cinematographers"":[{""name"":""Oliver Stapleton"",""tmdb_id"":16425}],""editors"":[{""name"":""Mick Audsley"",""tmdb_id"":294}],""cast"":[{""name"":""Anjelica Huston"",""tmdb_id"":5657,""character"":""Lilly Dillon""},{""name"":""John Cusack"",""tmdb_id"":3036,""character"":""Roy Dillon""},{""name"":""Annette Bening"",""tmdb_id"":516,""character"":""Myra Langtry""},{""name"":""Jan Munroe"",""tmdb_id"":109762,""character"":""Guy in bar""},{""name"":""Robert Weems"",""tmdb_id"":109763,""character"":""Racetrack Announcer""},{""name"":""Stephen Tobolowsky"",""tmdb_id"":537,""character"":""Jeweler""},{""name"":""Jimmy Noonan"",""tmdb_id"":109764,""character"":""Bartender""},{""name"":""Richard Holden"",""tmdb_id"":109765,""character"":""Cop""}]}",""
