"selector_label","title","director","criterion_url","source","published_rank"
"Aaron Katz's Top 10 ","Three Colors: Blue","Krzysztof Kieślowski","https://www.criterion.com/films/27731-three-colors-blue","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","Three Colors: Blue","Krzysztof Kieślowski","https://www.criterion.com/films/27731-three-colors-blue","https://github.com/brittonwalker/criterion-top-ten",""
"Kazu Kibuishi","Three Colors: Blue","Krzysztof Kieślowski","https://www.criterion.com/films/27731-three-colors-blue","https://github.com/brittonwalker/criterion-top-ten",""
"Aaron Katz's Top 10 ","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Ben Wheatley","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Hossein Amini","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Andrew Loog Oldham","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"William Friedkin ","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Edgar Wright","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Johnnie To","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Götz Spielmann","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Monte Hellman","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Mike Allred","Le samouraï","Jean-Pierre Melville","https://www.criterion.com/films/184-le-samoura","https://github.com/brittonwalker/criterion-top-ten",""
"Aaron Katz's Top 10 ","The Killer","John Woo","https://www.criterion.com/films/231-the-killer","https://github.com/brittonwalker/criterion-top-ten",""
"Mike Allred","The Killer","John Woo","https://www.criterion.com/films/231-the-killer","https://github.com/brittonwalker/criterion-top-ten",""
"Julia Cafritz","Secret Honor","Robert Altman","https://www.criterion.com/films/955-secret-honor","https://github.com/brittonwalker/criterion-top-ten",""
"James Franco","Secret Honor","Robert Altman","https://www.criterion.com/films/955-secret-honor","https://github.com/brittonwalker/criterion-top-ten",""
"Ricky Jay","Secret Honor","Robert Altman","https://www.criterion.com/films/955-secret-honor","https://github.com/brittonwalker/criterion-top-ten",""
