"selector_label","title","director","criterion_url","source","published_rank"
"Terence Nance","Moonrise Kingdom","Wes Anderson","https://www.criterion.com/films/28757-moonrise-kingdom","https://github.com/brittonwalker/criterion-top-ten",""
"Olivier Assayas","Moonrise Kingdom","Wes Anderson","https://www.criterion.com/films/28757-moonrise-kingdom","https://github.com/brittonwalker/criterion-top-ten",""
"Amy Fine Collins","The Thief of Bagdad","Ludwig Berger, Michael Powell, and Tim Whelan","https://www.criterion.com/films/544-the-thief-of-bagdad","https://github.com/brittonwalker/criterion-top-ten",""
"Jaime Hernandez","The Thief of Bagdad","Ludwig Berger, Michael Powell, and Tim Whelan","https://www.criterion.com/films/544-the-thief-of-bagdad","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Morrissey","The Thief of Bagdad","Ludwig Berger, Michael Powell, and Tim Whelan","https://www.criterion.com/films/544-the-thief-of-bagdad","https://github.com/brittonwalker/criterion-top-ten",""
"Amy Fine Collins","The Fugitive Kind","Sidney Lumet","https://www.criterion.com/films/17998-the-fugitive-kind","https://github.com/brittonwalker/criterion-top-ten",""
"Douglas Hart","The Fugitive Kind","Sidney Lumet","https://www.criterion.com/films/17998-the-fugitive-kind","https://github.com/brittonwalker/criterion-top-ten",""
"Jesse Malin","The Fugitive Kind","Sidney Lumet","https://www.criterion.com/films/17998-the-fugitive-kind","https://github.com/brittonwalker/criterion-top-ten",""
"Amy Fine Collins","My Man Godfrey","Gregory La Cava","https://www.criterion.com/films/653-my-man-godfrey","https://github.com/brittonwalker/criterion-top-ten",""
"Donald Fagen","My Man Godfrey","Gregory La Cava","https://www.criterion.com/films/653-my-man-godfrey","https://github.com/brittonwalker/criterion-top-ten",""
"Whit Stillman","My Man Godfrey","Gregory La Cava","https://www.criterion.com/films/653-my-man-godfrey","https://github.com/brittonwalker/criterion-top-ten",""
"Allison Anders","My Man Godfrey","Gregory La Cava","https://www.criterion.com/films/653-my-man-godfrey","https://github.com/brittonwalker/criterion-top-ten",""
"Amy Fine Collins","Senso","Luchino Visconti","https://www.criterion.com/films/27543-senso","https://github.com/brittonwalker/criterion-top-ten",""
"Tim Forbes","Senso","Luchino Visconti","https://www.criterion.com/films/27543-senso","https://github.com/brittonwalker/criterion-top-ten",""
"Jenni Olson","God’s Country","Louis Malle","https://www.criterion.com/films/675-gods-country","https://github.com/brittonwalker/criterion-top-ten",""
"Jenni Olson","The Times of Harvey Milk","Robert Epstein","https://www.criterion.com/films/27549-the-times-of-harvey-milk","https://github.com/brittonwalker/criterion-top-ten",""
"Jenni Olson","Brief Encounter","David Lean","https://www.criterion.com/films/345-brief-encounter","https://github.com/brittonwalker/criterion-top-ten",""
"André Gregory and Wallace Shawn","Brief Encounter","David Lean","https://www.criterion.com/films/345-brief-encounter","https://github.com/brittonwalker/criterion-top-ten",""
"Geoff Dyer","Brief Encounter","David Lean","https://www.criterion.com/films/345-brief-encounter","https://github.com/brittonwalker/criterion-top-ten",""
