rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1584,Pan 700,1974,Hollis Frampton,1,3.12,5.2,278,tt2187025
1585,Adventures on the New Frontier,1961,"Kenneth Stilson, Albert Maysles, Richard Leacock, D. A. Pennebaker",1,3.3,6.5,190,tt0950780
1586,24 Frames,2017,Abbas Kiarostami,1,3.76,6.8,2526,tt6777170
1587,Days of Wine and Roses,1958,John Frankenheimer,1,3.53,7.8,196,tt0051523
1588,Marketa Lazarová,1967,František Vláčil,1,4.2,7.8,6716,tt0063278
1589,Z,1969,Costa-Gavras,1,4.37,8.1,34147,tt0065234
1590,No Regrets for Our Youth,1946,Akira Kurosawa,1,3.59,7.1,4503,tt0039090
1591,La Chienne,1931,Jean Renoir,1,3.83,7.5,5369,tt0021739
1592,Elvira Madigan,1967,Bo Widerberg,1,3.65,7,3642,tt0061620
1593,Lord of the Flies,1963,Peter Brook,1,3.31,6.8,22145,tt0057261
1594,American Psycho,2000,Mary Harron,1,3.76,7.6,844152,tt0144084
1595,The Fourth Dimension,1936,"Jean Painlevé, Achille-Pierre Dufour",1,3.6,6.8,309,tt0130025
1596,Fancy Dance,2023,Erica Tremblay,1,3.57,6.6,4353,tt21813994
1597,Minding the Gap,2018,Bing Liu,1,4.32,8,11102,tt7476236
1598,Process Red,1966,Hollis Frampton,1,3.23,5,462,tt2187045
1599,Hapax Legomena I: (nostalgia),1971,Hollis Frampton,1,3.85,6.7,791,tt0130908
1600,Toy Story 3,2010,Lee Unkrich,1,4.04,8.3,977902,tt0435761
1601,Walk Cheerfully,1930,Yasujirō Ozu,1,3.38,6.5,832,tt0020980
1602,The Girl Can't Help It,1956,Frank Tashlin,1,3.55,6.8,4399,tt0049263
1603,Winter Solstice,1974,Hollis Frampton,1,3.34,5.5,224,tt2187201
1604,"Lacombe, Lucien",1974,Louis Malle,1,3.81,7.6,8449,tt0071733
1605,The Stickleback's Eggs,1925,Jean Painlevé,1,3.12,5.2,233,tt0130152
1606,Boat People,1982,Ann Hui,1,3.83,7.6,1989,tt0084807
1607,Unrest,2022,Cyril Schäublin,1,3.53,6.6,1423,tt11409736
1608,Burroughs: The Movie,1983,Howard Brookner,1,3.65,7,914,tt3581384
1609,Lone Wolf and Cub: Sword of Vengeance,1972,Kenji Misumi,1,3.8,7.6,9867,tt0068815
1610,Sam Now,2022,Reed Harkness,1,3.78,7.8,270,tt11742162
1611,Blink Twice,2024,Zoë Kravitz,1,3.36,6.5,131464,tt14858658
1612,Adalen 31,1969,Bo Widerberg,1,3.64,7,2026,tt0065261
1613,Fury,1936,Fritz Lang,1,3.98,7.8,14798,tt0027652
1614,For All Mankind,1989,Al Reinert,1,4.11,8.1,7249,tt0097372
1615,45 Years,2015,Andrew Haigh,1,3.86,7.1,36729,tt3544082
1616,The Souvenir,2019,Joanna Hogg,1,3.48,6.4,15730,tt6920356
1617,Aristotle and Dante Discover the Secrets of the Universe,2022,Aitch Alberto,1,3.19,7.2,3594,tt9428746
1618,The Pearls of the Crown,1937,Sacha Guitry,1,3.54,6.9,680,tt0029394
1619,The Idiot,1951,Akira Kurosawa,1,3.59,7.1,6271,tt0043614
1620,Diatoms,1968,"Jean Painlevé, Geneviève Hamon",1,3.42,6.3,247,tt1441260
1621,Patriotism,1966,Yukio Mishima,1,3.95,7.4,2286,tt0059936
1622,Marcello Mio,2024,Christophe Honoré,1,2.9,5.8,1174,tt32086069
1623,Chilly Scenes of Winter,1979,Joan Micklin Silver,1,3.8,7,2271,tt0079278
1624,Victim,1961,Basil Dearden,1,3.96,7.7,8162,tt0055597
1625,Nosferatu,2024,Robert Eggers,1,3.66,7.1,269038,tt5040012
1626,Fan-Fan the Tulip,1952,Christian-Jaque,1,3.53,7.1,3796,tt0044602
1627,Twilight,2008,Catherine Hardwicke,1,3.09,5.4,528939,tt1099212
1628,The Last Emperor,1987,Bernardo Bertolucci,1,3.94,7.7,120083,tt0093389
1629,Sundays and Cybele,1962,Serge Bourguignon,1,3.87,7.7,5115,tt0055910
1630,Summer Hours,2008,Olivier Assayas,1,3.76,7.1,8705,tt0836700
1631,Matangi / Maya / M.I.A.,2018,Stephen Loveridge,1,3.94,7.5,2325,tt3041550
1632,The Fire Within,1963,Louis Malle,1,4.19,7.8,11650,tt0057058
1633,The Kid Brother,1927,"Ted Wilde, Harold Lloyd",1,3.76,7.6,5285,tt0018051
1634,Fires on the Plain,1959,Kon Ichikawa,1,4.08,7.9,5916,tt0053121
1635,Pan 1,1974,Hollis Frampton,1,2.54,4.2,394,tt2187011
1636,Strange Darling,2023,JT Mollner,1,3.46,7,70307,tt22375054
1637,A Generation,1955,Andrzej Wajda,1,3.63,7.1,3309,tt0048500
1638,"Fight, Zatoichi, Fight",1964,Kenji Misumi,1,3.75,7.4,2082,tt0123334
1639,Kill!,1968,Kihachi Okamoto,1,3.78,7.4,3448,tt0063186
1640,Zatoichi and the Chess Expert,1965,Kenji Misumi,1,3.57,7.3,1749,tt0059942
1641,Buena Vista Social Club,1999,Wim Wenders,1,3.97,7.6,20989,tt0186508
1642,The Tale of Zatoichi,1962,Kenji Misumi,1,3.87,7.6,6537,tt0056714
1643,Hapax Legomena II: Poetic Justice,1972,Hollis Frampton,1,3.52,5.7,335,tt0130948
1644,Kuroneko,1968,Kaneto Shindō,1,4.07,7.7,9960,tt0122136
1645,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,Kenji Misumi,1,3.73,7.5,5083,tt0143428
1646,One Hour with You,1932,Ernst Lubitsch,1,3.52,7,3263,tt0023303
1647,Ingmar Bergman Makes a Movie,1963,Vilgot Sjöman,1,3.7,7.7,523,tt0407888
1648,Gray's Anatomy,1996,Steven Soderbergh,1,3.56,6.8,2668,tt0116447
1649,Hell's Angels,1930,Howard Hughes,1,3.48,7.2,6720,tt0020960
1650,Swan Song,2023,Chelsea McMullan,1,3.65,7.1,195,tt28490634
1651,Stan Brakhage Exits the Cinema and Enters the Light of Day,2002,Phil Solomon,1,3.6,,,
1652,Le Notti Bianche,1957,Luchino Visconti,1,4.02,7.7,10342,tt0050782
1653,Sword of the Beast,1965,Hideo Gosha,1,3.77,7.5,3395,tt0200768
1654,Ingenivm Nobis Ipsa Pvella Fecit: Part I,1974,Hollis Frampton,1,3.06,4.8,236,tt2186827
1655,The Big Heat,1953,Fritz Lang,1,4.11,7.9,32782,tt0045555
1656,Naked Childhood,1968,Maurice Pialat,1,3.91,7.4,2929,tt0065695
1657,Zatoichi the Outlaw,1967,Satsuo Yamamoto,1,3.58,7,1519,tt0062518
1658,Maidstone,1970,Norman Mailer,1,3.02,4.6,313,tt0064625
