rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1343,Enter the Void,2009,Gaspar Noé,1,3.77,7.2,94952,tt1191111
1344,The Babadook,2014,Jennifer Kent,1,3.3,6.8,270958,tt2321549
1345,BlackBerry,2023,Matt Johnson,1,3.77,7.3,71010,tt21867434
1346,La Bête Humaine,1938,Jean Renoir,1,3.75,7.5,9037,tt0029957
1347,We Grown Now,2023,Minhal Baig,1,3.69,6.8,1454,tt28639049
1348,Janet Planet,2023,Annie Baker,1,3.59,6.1,4017,tt28366692
1349,Marriage Story,2019,Noah Baumbach,1,4.01,7.9,372965,tt7653254
1350,Revanche,2008,Götz Spielmann,1,3.98,7.5,17259,tt1173745
1351,Dry Summer,1963,Metin Erksan,1,3.81,7.8,6735,tt0062322
1352,Rupture,1961,"Pierre Étaix, Jean-Claude Carrière",1,3.58,7,765,tt0411819
1353,The Two Faces of a Bamileke Woman,2018,Rosine Mbakam,1,3.62,7.2,40,tt9135014
1354,Shrimp Stories,1964,"Geneviève Hamon, Jean Painlevé",1,3.46,6.4,368,tt1441288
1355,Barbie,2023,Greta Gerwig,1,3.68,6.8,693485,tt1517268
1356,A Murder at the End of the World,2023,"Brit Marling, Zal Batmanglij",1,3.56,7,32841,tt15227418
1357,All We Imagine as Light,2024,Payal Kapadia,1,3.87,7,14054,tt32086077
1358,Riot in Cell Block 11,1954,Don Siegel,1,3.6,7,2714,tt0047417
1359,Ida,2013,Paweł Pawlikowski,1,4.05,7.4,63321,tt2718492
1360,Good One,2024,India Donaldson,1,3.67,6.7,4155,tt30319516
1361,Cairo Station,1958,Youssef Chahine,1,3.82,7.5,6250,tt0051390
1362,The Red Head,1932,Julien Duvivier,1,3.76,7.5,830,tt0023345
1363,Devi,1960,Satyajit Ray,1,4.07,7.8,3445,tt0053765
1364,Little Men,2016,Ira Sachs,1,3.51,6.7,8196,tt4919484
1365,Blast of Silence,1961,Allen Baron,1,3.82,7.4,6431,tt0054687
1366,Jungle Book,1942,Zoltan Korda,1,3.38,6.7,5091,tt0034928
1367,Feeling Good,1966,Pierre Étaix,1,3.42,6.6,447,tt1708524
1368,"Love Affair, or the Case of the Missing Switchboard Operator",1967,Dušan Makavejev,1,3.7,7.3,2162,tt0061912
1369,The Funeral,1984,Jūzō Itami,1,3.83,7.2,2322,tt0089746
1370,Author: The JT LeRoy Story,2016,Jeff Feuerzeig,1,3.58,7.1,1326,tt5278462
