slug,title,year,director,runtime,imdb,tmdb,lb_rating,lb_rating_count,imdb_rating,imdb_votes,times_picked,imdb_url,lb_url
good-time,Good Time,2017,"Benny Safdie, Josh Safdie",102,tt4846232,429200,3.98,787466,7.3,157056,1,https://www.imdb.com/title/tt4846232/,https://letterboxd.com/film/good-time/
jubal,Jubal,1956,Delmer Daves,100,tt0048233,43260,3.67,3676,7.1,4974,1,https://www.imdb.com/title/tt0048233/,https://letterboxd.com/film/jubal/
descendant-2022,Descendant,2022,Margaret Brown,111,tt16376494,913822,3.78,4467,7.1,1588,1,https://www.imdb.com/title/tt16376494/,https://letterboxd.com/film/descendant-2022/
looking-the-movie,Looking: The Movie,2016,Andrew Haigh,85,tt4552118,371738,3.72,14534,7.5,11418,1,https://www.imdb.com/title/tt4552118/,https://letterboxd.com/film/looking-the-movie/
certain-women,Certain Women,2016,Kelly Reichardt,107,tt4468634,340487,3.77,57285,6.4,17369,1,https://www.imdb.com/title/tt4468634/,https://letterboxd.com/film/certain-women/
the-lobster,The Lobster,2015,Yorgos Lanthimos,119,tt3464902,254320,3.74,1171325,7.1,335403,1,https://www.imdb.com/title/tt3464902/,https://letterboxd.com/film/the-lobster/
the-flight-of-the-phoenix,The Flight of the Phoenix,1965,Robert Aldrich,142,tt0059183,10243,3.71,10660,7.5,24303,1,https://www.imdb.com/title/tt0059183/,https://letterboxd.com/film/the-flight-of-the-phoenix/
trances,Trances,1981,Ahmed El Maânouni,90,tt0406280,215407,3.75,3342,6.7,792,1,https://www.imdb.com/title/tt0406280/,https://letterboxd.com/film/trances/
lilies,Lilies,1996,John Greyson,96,tt0116882,47643,3.95,4967,7.3,3163,1,https://www.imdb.com/title/tt0116882/,https://letterboxd.com/film/lilies/
the-man-who-killed-don-quixote,The Man Who Killed Don Quixote,2018,Terry Gilliam,133,tt1318517,297725,3.23,38843,6.3,23930,1,https://www.imdb.com/title/tt1318517/,https://letterboxd.com/film/the-man-who-killed-don-quixote/
gasoline-rainbow,Gasoline Rainbow,2023,"Turner Ross, Bill Ross",108,tt28494031,1156110,3.37,14371,6.4,1645,1,https://www.imdb.com/title/tt28494031/,https://letterboxd.com/film/gasoline-rainbow/
monica,Monica,2022,Andrea Pallaoro,113,tt6337816,540549,3.58,6889,6.3,1781,1,https://www.imdb.com/title/tt6337816/,https://letterboxd.com/film/monica/
compensation-1999,Compensation,1999,Zeinabu irene Davis,93,tt0223027,365501,4.02,2958,7.1,394,1,https://www.imdb.com/title/tt0223027/,https://letterboxd.com/film/compensation-1999/
sound-of-metal,Sound of Metal,2019,Darius Marder,121,tt5363618,502033,4.21,874467,7.7,187093,1,https://www.imdb.com/title/tt5363618/,https://letterboxd.com/film/sound-of-metal/
la-llorona-2019,La Llorona,2019,Jayro Bustamante,97,tt10767168,617708,3.24,42568,6.6,9181,1,https://www.imdb.com/title/tt10767168/,https://letterboxd.com/film/la-llorona-2019/
who-are-you-polly-maggoo,"Who Are You, Polly Maggoo?",1966,William Klein,103,tt0060879,66953,3.74,3769,6.8,1379,1,https://www.imdb.com/title/tt0060879/,https://letterboxd.com/film/who-are-you-polly-maggoo/
flowers-of-shanghai,Flowers of Shanghai,1998,Hou Hsiao-hsien,113,tt0156587,45935,3.91,15960,7.3,4640,1,https://www.imdb.com/title/tt0156587/,https://letterboxd.com/film/flowers-of-shanghai/
bowling-for-columbine,Bowling for Columbine,2002,Michael Moore,120,tt0310793,1430,3.95,103280,7.9,152395,1,https://www.imdb.com/title/tt0310793/,https://letterboxd.com/film/bowling-for-columbine/
pan-697,Pan 697,1974,Hollis Frampton,,tt2187019,166707,2.53,777,4,280,1,https://www.imdb.com/title/tt2187019/,https://letterboxd.com/film/pan-697/
elephant-boy,Elephant Boy,1937,"Zoltan Korda, Robert Flaherty",82,tt0028827,43858,3.22,564,6.3,924,1,https://www.imdb.com/title/tt0028827/,https://letterboxd.com/film/elephant-boy/
maestro-2023,Maestro,2023,Bradley Cooper,129,tt5535276,523607,3.14,331152,6.5,69716,1,https://www.imdb.com/title/tt5535276/,https://letterboxd.com/film/maestro-2023/
voyage-to-the-sky,Voyage to the Sky,1937,Jean Painlevé,11,tt0130355,162686,3.45,892,6.6,437,1,https://www.imdb.com/title/tt0130355/,https://letterboxd.com/film/voyage-to-the-sky/
the-inheritance-1962,The Inheritance,1962,Masaki Kobayashi,108,tt0056135,159414,3.8,3452,7.4,1303,1,https://www.imdb.com/title/tt0056135/,https://letterboxd.com/film/the-inheritance-1962/
magellan-at-the-gates-of-death-part-i-the-red-gate-i-0,"Magellan: At the Gates of Death, Part I: The Red Gate I, 0",1976,Hollis Frampton,5,tt2186935,166712,3.23,503,5.3,252,1,https://www.imdb.com/title/tt2186935/,https://letterboxd.com/film/magellan-at-the-gates-of-death-part-i-the-red-gate-i-0/
i-will-buy-you,I Will Buy You,1956,Masaki Kobayashi,111,tt0134286,143946,3.58,1715,6.9,647,1,https://www.imdb.com/title/tt0134286/,https://letterboxd.com/film/i-will-buy-you/
the-runner,The Runner,1984,Amir Naderi,94,tt0088992,213938,4.13,5395,7.6,2911,1,https://www.imdb.com/title/tt0088992/,https://letterboxd.com/film/the-runner/
lemon-1969,Lemon,1969,Hollis Frampton,7,tt0130817,146827,3.15,3964,5.3,719,1,https://www.imdb.com/title/tt0130817/,https://letterboxd.com/film/lemon-1969/
thirty-two-short-films-about-glenn-gould,Thirty Two Short Films About Glenn Gould,1993,François Girard,93,tt0108328,20967,3.79,4692,7.3,4250,1,https://www.imdb.com/title/tt0108328/,https://letterboxd.com/film/thirty-two-short-films-about-glenn-gould/
this-time-tomorrow-2016,This Time Tomorrow,2016,Lina Rodríguez,85,tt5795752,406859,3.33,388,5.9,147,1,https://www.imdb.com/title/tt5795752/,https://letterboxd.com/film/this-time-tomorrow-2016/
david-golder,David Golder,1931,Julien Duvivier,86,tt0020814,153444,3.52,543,7,398,1,https://www.imdb.com/title/tt0020814/,https://letterboxd.com/film/david-golder/
dragnet-girl,Dragnet Girl,1933,Yasujirō Ozu,100,tt0024120,117472,3.53,3571,6.9,1291,1,https://www.imdb.com/title/tt0024120/,https://letterboxd.com/film/dragnet-girl/
the-return-2024,The Return,2024,Uberto Pasolini,116,tt19861162,975511,3.09,31285,6.3,14917,1,https://www.imdb.com/title/tt19861162/,https://letterboxd.com/film/the-return-2024/
the-vampire-1945,The Vampire,1945,Jean Painlevé,9,tt0130342,144694,3.49,2946,6.6,984,1,https://www.imdb.com/title/tt0130342/,https://letterboxd.com/film/the-vampire-1945/
the-velvet-underground-2021,The Velvet Underground,2021,Todd Haynes,121,tt7230750,543836,3.94,36856,7.3,6231,1,https://www.imdb.com/title/tt7230750/,https://letterboxd.com/film/the-velvet-underground-2021/
